Ensembl	Uniprot	Reliability_IF	Subcellular location
ENSG00000148584	Q9NQ94	Supported	Nucleoplasm
ENSG00000128274	Q9NPC4	Uncertain	Mitochondria
ENSG00000094914	Q9NRG9	Approved	Nuclear membrane,Centrosome,Cytosol
ENSG00000081760	Q86V21	Approved	Vesicles
ENSG00000109576	Q8N5Z0	Approved	Vesicles,Plasma membrane
ENSG00000103591	Q6PD74	Supported	Nuclear speckles,Cytosol
ENSG00000115977	Q2M2I8	Approved	Vesicles,Plasma membrane,Cytosol
ENSG00000087884	Q9H7C9	Approved	Nucleoplasm,Cytosol
ENSG00000127837	Q13685	Supported	Microtubules,Cytosol
ENSG00000129673	Q16613	Supported	Cytosol
ENSG00000131043	Q9Y312	Approved	Cytosol
ENSG00000205002	Q4LEZ3	Approved	Lipid droplets
ENSG00000090861	P49588	Supported	Cytosol
ENSG00000124608	Q5JTZ9	Enhanced	Mitochondria
ENSG00000266967	Q9BTE6	Approved	Nuclear membrane,Cytosol
ENSG00000008311	Q9UDR5	Approved	Nucleoplasm,Vesicles,Mitochondria
ENSG00000275700	Q9NY61	Supported	Nucleoplasm,Nucleoli
ENSG00000181409	Q6ZMQ8	Uncertain	Mitochondria
ENSG00000183044	P80404	Supported	Mitochondria
ENSG00000165029	O95477	Approved	Nucleoplasm,Vesicles
ENSG00000144452	Q86UK0	Approved	Nucleoli,Vesicles,Plasma membrane,Cytosol
ENSG00000179869		Approved	Vesicles,Centrosome,Cytosol
ENSG00000107331	Q9BZC7	Supported	Vesicles
ENSG00000167972	Q99758	Approved	Nucleoplasm,Cytosol
ENSG00000198691	P78363	Approved	Cytosol
ENSG00000154265	Q8WWZ7	Approved	Nucleoplasm
ENSG00000154262	Q8N139	Enhanced	Nucleoplasm
ENSG00000064687	Q8IZY2	Supported	Golgi apparatus,Plasma membrane,Cell Junctions
ENSG00000141338	O94911	Approved	Nucleoplasm,Cytosol
ENSG00000154258	Q8IUA7	Approved	Endoplasmic reticulum
ENSG00000085563	P08183	Approved	Nucleoplasm,Plasma membrane,Focal adhesion sites
ENSG00000073734	O95342	Uncertain	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000005471	P21439	Approved	Nucleoplasm,Plasma membrane,Actin filaments,Focal adhesion sites
ENSG00000115657	Q9NP58	Supported	Nucleoplasm,Golgi apparatus,Plasma membrane,Mitochondria,Cytosol
ENSG00000131269	O75027	Approved	Mitochondria
ENSG00000197150	Q9NUT2	Supported	Nucleoplasm,Mitochondria
ENSG00000150967	Q9NP78	Supported	Vesicles
ENSG00000103222	P33527	Supported	Plasma membrane,Cell Junctions
ENSG00000108846	O15438	Supported	Plasma membrane
ENSG00000125257	O15439	Supported	Nucleoli,Golgi apparatus,Plasma membrane
ENSG00000114770	O15440	Approved	Nucleoplasm,Plasma membrane,Cell Junctions
ENSG00000091262	O95255	Supported	Nucleoplasm,Plasma membrane
ENSG00000006071	Q09428	Approved	Nucleoli,Golgi apparatus,Cytosol
ENSG00000069431	O60706	Approved	Nucleoplasm,Cytosol
ENSG00000117528	P28288	Enhanced	Peroxisomes
ENSG00000164163	P61221	Enhanced	Cytosol
ENSG00000204574	Q8NE71	Enhanced	Cytosol
ENSG00000033050	Q9UG63	Enhanced	Cytosol
ENSG00000285292	Q9UG63	Uncertain	Cytosol
ENSG00000161204	Q9NUQ8	Approved	Nucleoli,Cytosol
ENSG00000160179	P45844	Supported	Golgi apparatus,Vesicles
ENSG00000118777	Q9UNQ0	Supported	Nucleoplasm,Plasma membrane
ENSG00000143921	Q9H221	Approved	Vesicles
ENSG00000144827	Q9NUJ1	Approved	Mitochondria
ENSG00000106077	Q8NFV4	Supported	Mitochondria
ENSG00000131969	Q7Z5M8	Uncertain	Nucleoplasm
ENSG00000139826	Q7L211	Approved	Cytosol
ENSG00000248487	Q9BUJ0	Enhanced	Vesicles
ENSG00000114786		Uncertain	Vesicles
ENSG00000114779	Q96IU4	Approved	Nucleoplasm,Nucleoli,Cytosol
ENSG00000168792	Q6UXT9	Approved	Nucleoplasm,Cytosol
ENSG00000183260	Q9H3Z7	Enhanced	Nucleoplasm
ENSG00000129968	Q96GS6	Approved	Nuclear speckles,Vesicles
ENSG00000164074	Q0P651	Approved	Nuclear membrane
ENSG00000140526	P08910	Approved	Nucleoplasm,Cytosol
ENSG00000158201	Q8WU67	Approved	Nucleoplasm,Vesicles,Plasma membrane
ENSG00000100439	Q8TB40	Approved	Nucleoplasm
ENSG00000011198	Q8WTS1	Supported	Nucleoplasm,Vesicles,Cytosol
ENSG00000163686	Q9BV23	Approved	Nucleoplasm,Vesicles
ENSG00000127220	Q96I13	Approved	Nucleoplasm,Nuclear bodies
ENSG00000136754	Q8IZP0	Approved	Plasma membrane,Cell Junctions
ENSG00000138443	Q9NYB9	Supported	Nucleoplasm,Vesicles,Cytosol
ENSG00000119328	Q9NX38	Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000097007	P00519	Enhanced	Nucleoplasm,Nuclear bodies
ENSG00000143322	P42684	Approved	Nucleoplasm,Vesicles
ENSG00000099204	O14639	Supported	Cytosol
ENSG00000163995	Q6H8Q1	Uncertain	Nucleoplasm,Mitochondria
ENSG00000173210	O94929	Approved	Nucleoplasm,Plasma membrane,Cell Junctions
ENSG00000159842	Q12979	Approved	Nucleoplasm,Cytosol
ENSG00000146386	Q9P1F3	Approved	Nucleoplasm,Cytosol
ENSG00000163322	Q6UWZ7	Supported	Nuclear bodies
ENSG00000165660	Q15018	Supported	Cytosol
ENSG00000146109	Q9ULW3	Approved	Vesicles
ENSG00000114626	Q969K4	Supported	Nucleoli,Cytosol
ENSG00000166016	Q8N961	Supported	Nucleoplasm,Vesicles
ENSG00000285953		Approved	Vesicles
ENSG00000269026		Approved	Nucleoplasm
ENSG00000276345		Supported	Nucleoli fibrillar center,Mitochondria
ENSG00000285162		Uncertain	Nucleoplasm,Nuclear bodies
ENSG00000250424		Approved	Plasma membrane
ENSG00000284292		Approved	Cell Junctions,Cytosol
ENSG00000251537		Approved	Plasma membrane,Cytosol
ENSG00000258472		Approved	Nucleoplasm,Vesicles,Plasma membrane
ENSG00000255639		Approved	Nucleoplasm,Mitochondria
ENSG00000280571		Approved	Nucleoplasm,Centriolar satellite,Cytosol
ENSG00000277196		Approved	Nucleoplasm,Vesicles,Mitochondria
ENSG00000278646		Uncertain	Nucleoli
ENSG00000285188		Approved	Midbody ring,Centrosome,Cytosol
ENSG00000268465		Uncertain	Plasma membrane,Cytosol
ENSG00000267335		Approved	Cytosol
ENSG00000273217		Approved	Centrosome,Cytosol
ENSG00000268870		Uncertain	Nucleoplasm,Centriolar satellite
ENSG00000267179		Uncertain	Nucleoplasm
ENSG00000268083		Uncertain	Mitochondria
ENSG00000269035		Uncertain	Nuclear membrane
ENSG00000269590		Approved	Nuclear membrane,Endoplasmic reticulum
ENSG00000230626		Approved	Cytosol
ENSG00000269547		Uncertain	Nucleoplasm,Vesicles,Mitochondria
ENSG00000260537		Uncertain	Nucleoplasm
ENSG00000285982		Approved	Nucleoplasm,Mitochondria
ENSG00000288607	Q3SY89	Approved	Nucleoplasm,Nucleoli,Cytosol
ENSG00000288631	Q8NG57	Supported	Nucleoplasm,Nucleoli,Cytosol
ENSG00000286165		Approved	Cytosol
ENSG00000288637		Approved	Centrosome
ENSG00000173867		Approved	Nucleoplasm,Microtubules,Cytokinetic bridge
ENSG00000285526		Approved	Nucleoplasm,Plasma membrane
ENSG00000269825		Approved	Nucleoli rim
ENSG00000257390		Approved	Nuclear speckles,Cytoplasmic bodies
ENSG00000267740		Uncertain	Mitochondria
ENSG00000285837		Approved	Vesicles,Centrosome
ENSG00000260914		Approved	Midbody
ENSG00000282278		Supported	Nucleoplasm
ENSG00000283149		Uncertain	Endoplasmic reticulum
ENSG00000272822		Approved	Nucleoplasm,Nuclear bodies
ENSG00000144785		Approved	Nucleoplasm,Centriolar satellite
ENSG00000285920		Approved	Nucleoplasm,Nucleoli,Nucleoli fibrillar center
ENSG00000288616	A6NLF2	Approved	Nucleoplasm,Nucleoli,Cytosol
ENSG00000275740		Approved	Nuclear speckles
ENSG00000198211		Approved	Microtubules,Cytokinetic bridge,Mitotic spindle
ENSG00000260643		Approved	Vesicles
ENSG00000284512		Approved	Vesicles
ENSG00000267561		Uncertain	Mitochondria
ENSG00000270249		Uncertain	Nucleoplasm
ENSG00000285458		Approved	Focal adhesion sites,Cytosol
ENSG00000285708		Approved	Nucleoplasm
ENSG00000283782		Approved	Nucleoplasm
ENSG00000285625		Approved	Cytosol
ENSG00000283761		Approved	Vesicles
ENSG00000285947		Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000283765		Approved	Mitochondria
ENSG00000274175		Uncertain	Centriolar satellite
ENSG00000285472		Approved	Centrosome
ENSG00000255439		Approved	Endoplasmic reticulum
ENSG00000275869		Approved	Centriolar satellite
ENSG00000264668		Approved	Nucleoplasm,Nucleoli,Nucleoli rim,Plasma membrane
ENSG00000260342		Approved	Endoplasmic reticulum
ENSG00000261832		Approved	Nucleoplasm
ENSG00000183889		Approved	Nucleoplasm
ENSG00000262660		Supported	Mitochondria
ENSG00000274792		Uncertain	Centrosome
ENSG00000268674	P0DMU3	Approved	Intermediate filaments
ENSG00000271254		Approved	Microtubules,Cytosol
ENSG00000286185		Approved	Microtubules,Cytosol
ENSG00000260836		Approved	Nucleoli,Endoplasmic reticulum,Cytosol
ENSG00000285762		Approved	Mitochondria
ENSG00000060971	P09110	Supported	Peroxisomes
ENSG00000167315	P42765	Supported	Mitochondria
ENSG00000278540	Q13085	Supported	Nucleoli fibrillar center,Actin filaments,Cytosol
ENSG00000177646	Q9H845	Enhanced	Mitochondria
ENSG00000117054	P11310	Enhanced	Mitochondria
ENSG00000122971	P16219	Supported	Mitochondria
ENSG00000196177	P45954	Supported	Mitochondria
ENSG00000072778	P49748	Supported	Nucleoplasm,Nucleoli,Mitochondria
ENSG00000072818	Q15027	Approved	Golgi apparatus
ENSG00000114331	Q15057	Approved	Endosomes
ENSG00000131584	Q96P50	Approved	Nucleoplasm,Golgi apparatus
ENSG00000075239	P24752	Enhanced	Mitochondria
ENSG00000120437	Q9BWD1	Approved	Nucleoplasm,Cytosol
ENSG00000182827	Q9H3P7	Supported	Golgi apparatus
ENSG00000181513	Q8NC06	Approved	Nucleoplasm,Vesicles
ENSG00000107897	Q5T8D3	Enhanced	Peroxisomes
ENSG00000230124	Q9BR61	Approved	Nucleoplasm,Cytosol
ENSG00000176244	Q8N6N7	Approved	Vesicles,Cytosol
ENSG00000110455	Q96QU6	Approved	Golgi apparatus
ENSG00000205126	Q4AC99	Approved	Cytosol
ENSG00000102977	Q96AP0	Enhanced	Nuclear bodies
ENSG00000159640	P12821	Approved	Vesicles
ENSG00000087085	P22303	Approved	Golgi apparatus,Vesicles
ENSG00000100813	Q9UKV3	Supported	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000144648	O00590	Supported	Nucleoplasm,Vesicles,Cytosol
ENSG00000144476	P25106	Supported	Vesicles,Plasma membrane
ENSG00000129048	Q9NPB9	Approved	Vesicles,Mitochondria
ENSG00000131473	P53396	Supported	Nucleoplasm,Cytosol
ENSG00000153086	Q8TDX5	Approved	Cytosol
ENSG00000122729	P21399	Supported	Mitochondria,Cytosol
ENSG00000100412	Q99798	Approved	Mitochondria
ENSG00000184227	Q86TX2	Approved	Mitochondria
ENSG00000162390	Q8WXI4	Supported	Cytosol
ENSG00000172497	Q8WYK0	Approved	Nucleoplasm,Cytokinetic bridge,Cytosol
ENSG00000112304	Q9NPJ3	Approved	Cell Junctions
ENSG00000119673	P49753	Approved	Mitochondria
ENSG00000097021	O00154	Supported	Nucleoplasm,Cytosol
ENSG00000101473	O14734	Supported	Vesicles,Mitochondria
ENSG00000123130	Q9Y305	Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000161533	Q15067	Approved	Nucleoli,Peroxisomes
ENSG00000168306	Q99424	Approved	Vesicles,Cytosol
ENSG00000087008	O15254	Supported	Peroxisomes
ENSG00000153093	Q9NUZ1	Supported	Nucleoli,Cytosol
ENSG00000143727	P24666	Approved	Nucleoplasm,Cytosol
ENSG00000102575	P13686	Uncertain	Cytosol
ENSG00000111644	Q8NEB7	Approved	Nucleoplasm,Vesicles
ENSG00000103740	Q96GR2	Approved	Vesicles
ENSG00000130377	Q5FVE4	Supported	Cytosol
ENSG00000167107	Q96CM8	Uncertain	Nucleoplasm,Microtubules,Cytosol
ENSG00000176715	Q4G176	Supported	Nucleoplasm,Mitochondria
ENSG00000151726	P33121	Uncertain	Vesicles
ENSG00000123983	O95573	Approved	Nucleoli,Nucleoli rim,Lipid droplets
ENSG00000068366	O60488	Approved	Golgi apparatus,Mitochondria
ENSG00000197142	Q9ULC5	Supported	Nucleoplasm,Mitochondria
ENSG00000183549	Q6NUN0	Uncertain	Vesicles
ENSG00000111058	Q9H6R3	Supported	Mitochondria
ENSG00000107796	P62736	Supported	Actin filaments
ENSG00000136518	O96019	Enhanced	Nucleoplasm,Cytosol
ENSG00000077080	O94805	Approved	Nucleoli rim,Mitotic chromosome
ENSG00000117148	Q9H568	Approved	Cytosol
ENSG00000072110	P12814	Approved	Plasma membrane,Actin filaments,Focal adhesion sites
ENSG00000077522	P35609	Uncertain	Actin filaments
ENSG00000248746	Q08043	Uncertain	Actin filaments
ENSG00000130402	O43707	Approved	Nuclear bodies,Actin filaments,Cytosol
ENSG00000131966	Q9NZ32	Approved	Vesicles,Plasma membrane,Focal adhesion sites
ENSG00000138107	P61163	Approved	Microtubules
ENSG00000115073	P42025	Approved	Microtubules
ENSG00000138071	P61160	Approved	Cytosol
ENSG00000075089	Q9GZN1	Approved	Plasma membrane,Cytosol
ENSG00000113812	Q9H981	Supported	Nucleoplasm,Centrosome
ENSG00000184378	Q9BYD9	Approved	Nucleoplasm
ENSG00000115170	Q04771	Uncertain	Nucleoli,Cytosol
ENSG00000135503	P36896	Approved	Cytosol
ENSG00000121989	P27037	Approved	Cytosol
ENSG00000119640	P07311	Approved	Nucleoplasm,Cytosol
ENSG00000170634	P14621	Approved	Nucleoplasm
ENSG00000196839	P00813	Supported	Plasma membrane,Cytosol
ENSG00000168803	Q6DHV7	Approved	Nucleoplasm,Nuclear speckles,Vesicles
ENSG00000137845	O14672	Supported	Vesicles,Plasma membrane
ENSG00000148848	O43184	Supported	Plasma membrane
ENSG00000143537	Q13444	Uncertain	Vesicles
ENSG00000151694	P78536	Supported	Cytosol
ENSG00000135074	Q9H013	Approved	Vesicles
ENSG00000008277	Q9P0K1	Approved	Cell Junctions
ENSG00000042980	Q9UKQ2	Approved	Plasma membrane,Mitochondria
ENSG00000197140	Q8TC27	Approved	Nucleoplasm,Vesicles
ENSG00000149451	Q9BZ11	Approved	Nuclear speckles,Plasma membrane
ENSG00000168615	Q13443	Approved	Endoplasmic reticulum,Vesicles
ENSG00000154734	Q9UHI8	Approved	Plasma membrane
ENSG00000151388	P58397	Approved	Nucleoli,Mitochondria
ENSG00000160323	Q76LX8	Approved	Vesicles
ENSG00000166106	Q8TE58	Approved	Cytosol
ENSG00000145536	Q8TE57	Approved	Nucleoplasm,Nuclear membrane,Midbody ring,Mitochondria
ENSG00000140470	Q8TE56	Approved	Nucleoplasm
ENSG00000140873	Q8TE60	Approved	Midbody,Mitotic spindle
ENSG00000145808		Approved	Vesicles,Midbody
ENSG00000087116	O95450	Approved	Vesicles,Plasma membrane
ENSG00000156140	O15072	Approved	Intermediate filaments
ENSG00000158859	O75173	Supported	Nuclear speckles
ENSG00000154736	Q9UNA0	Supported	Nucleoplasm
ENSG00000136378	Q9UKP4	Supported	Vesicles
ENSG00000163638	Q9P2N4	Approved	Endoplasmic reticulum,Vesicles
ENSG00000178031	Q8N6G6	Approved	Vesicles
ENSG00000197859	Q86TH1	Approved	Vesicles
ENSG00000156218	P82987	Uncertain	Vesicles
ENSG00000143382	Q6UY14	Approved	Plasma membrane,Cytosol
ENSG00000185761		Approved	Golgi apparatus
ENSG00000105963	O75689	Supported	Plasma membrane,Cytosol
ENSG00000160710	P55265	Enhanced	Nucleoplasm,Nucleoli
ENSG00000197381	P78563	Supported	Nucleoplasm,Cytosol
ENSG00000065457	Q9BUB4	Supported	Nucleoplasm
