Ensembl	Uniprot	Reliability_IF	Subcellular location
ENSG00000189007	Q7Z6V5	Approved	Nucleoplasm,Golgi apparatus,Cytosol
ENSG00000213638		Approved	Nucleoplasm
ENSG00000063761	Q86TW2	Uncertain	Nucleoplasm
ENSG00000133597	Q7Z695	Uncertain	Centrosome,Cytosol
ENSG00000173137	Q3MIX3	Approved	Plasma membrane,Cytosol
ENSG00000164742	Q08828	Approved	Mitochondria
ENSG00000173175	O95622	Enhanced	Intermediate filaments
ENSG00000174233	O43306	Approved	Golgi apparatus
ENSG00000121281	P51828	Approved	Cytosol
ENSG00000162104	O60503	Approved	Cytosol
ENSG00000078549	P41586	Enhanced	Vesicles
ENSG00000087274	P35611	Enhanced	Nucleoplasm,Plasma membrane
ENSG00000075340	P35612	Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000148700	Q9UEY8	Supported	Plasma membrane
ENSG00000118492	Q8N7X0	Uncertain	Nucleoplasm,Mitochondria
ENSG00000121753	O60241	Supported	Plasma membrane
ENSG00000111452	Q6QNK2	Approved	Nucleoplasm,Plasma membrane
ENSG00000127507	Q9UHX3	Uncertain	Vesicles,Cytosol
ENSG00000123146	P48960	Approved	Cytosol
ENSG00000173567	Q8IZF5	Approved	Golgi apparatus,Cytosol
ENSG00000153294	Q8IZF3	Uncertain	Mitochondria
ENSG00000173698	Q8IZP9	Approved	Plasma membrane,Cytosol
ENSG00000159618	Q8IZF4	Approved	Nucleoplasm,Nuclear membrane,Vesicles
ENSG00000144820	Q96K78	Approved	Plasma membrane
ENSG00000117114	O95490	Approved	Plasma membrane
ENSG00000164199	Q8WXG9	Approved	Lipid droplets
ENSG00000187758	P07327	Approved	Plasma membrane,Cytosol
ENSG00000196616	P00325	Approved	Plasma membrane,Cytosol
ENSG00000248144	P00326	Supported	Plasma membrane,Cytosol
ENSG00000198099	P08319	Uncertain	Nucleoplasm,Cytosol
ENSG00000196344	P40394	Supported	Plasma membrane,Cytosol
ENSG00000147576	Q8IWW8	Approved	Vesicles
ENSG00000182551	Q9BV57	Supported	Nucleoplasm,Golgi apparatus
ENSG00000148671	Q15847	Supported	Nucleoplasm,Cytosol
ENSG00000156110	P55263	Supported	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000101126	Q9H2P0	Approved	Nucleoplasm
ENSG00000101544	Q6IQ32	Approved	Mitochondria,Cytosol
ENSG00000163485	P30542	Supported	Plasma membrane
ENSG00000170425	P29275	Uncertain	Cytosol
ENSG00000159322	Q9BRR6	Approved	Centrosome
ENSG00000144843	P54922	Approved	Nucleoplasm,Nuclear membrane
ENSG00000153531	Q8NDY3	Approved	Nucleoplasm
ENSG00000116863	Q9NX46	Enhanced	Nucleoplasm
ENSG00000120907	P35348	Supported	Nucleoplasm,Vesicles,Cytosol
ENSG00000170214	P35368	Supported	Plasma membrane
ENSG00000274286	P18089	Supported	Vesicles,Cytosol
ENSG00000169252	P07550	Uncertain	Cytosol
ENSG00000130706	Q16186	Supported	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000239900	P30566	Enhanced	Cytosol
ENSG00000035687	P30520	Approved	Plasma membrane,Cytosol
ENSG00000111863	Q96IZ2	Uncertain	Nucleoli
ENSG00000106624	Q8IUX7	Supported	Nucleoplasm,Vesicles,Cytosol
ENSG00000139154	Q6ZN18	Enhanced	Nucleoplasm
ENSG00000181026	Q8WTP8	Supported	Nucleoplasm,Nuclear membrane,Nucleoli
ENSG00000286268		Approved	Endoplasmic reticulum
ENSG00000196526	Q8N556	Supported	Actin filaments,Focal adhesion sites,Cytosol
ENSG00000169129	Q8N4X5	Approved	Plasma membrane,Cytosol
ENSG00000130396	P55196	Enhanced	Nucleoplasm,Plasma membrane,Cell Junctions
ENSG00000172493	P51825	Approved	Nucleoplasm,Mitochondria
ENSG00000144218	P51826	Supported	Nucleoplasm,Cytosol
ENSG00000072364	Q9UHB7	Supported	Nucleoplasm,Nucleoli fibrillar center
ENSG00000135537	Q8WV93	Approved	Plasma membrane,Cytosol
ENSG00000141385	Q9Y4W6	Supported	Mitochondria
ENSG00000183077	Q63HM1	Approved	Mitochondria
ENSG00000081051	P02771	Approved	Golgi apparatus,Cytosol
ENSG00000119844	Q6ULP2	Supported	Golgi apparatus,Vesicles,Cytosol
ENSG00000135439	Q99490	Supported	Nucleoplasm,Midbody ring,Cytosol
ENSG00000146856	Q8NEM8	Approved	Cytosol
ENSG00000084693	Q8NDL9	Supported	Microtubules,Cytokinetic bridge,Cytosol
ENSG00000204305	Q15109	Approved	Nucleoli fibrillar center,Plasma membrane,Cell Junctions
ENSG00000173744	P52594	Supported	Vesicles
ENSG00000106351	O95081	Approved	Nucleoplasm,Cytosol
ENSG00000006530	Q53H12	Supported	Vesicles,Mitochondria
ENSG00000162688	P35573	Supported	Nucleoplasm,Nuclear bodies,Cytosol
ENSG00000187546	Q6ZNB7	Uncertain	Vesicles
ENSG00000092847	Q9UL18	Supported	Cytosol,Cytoplasmic bodies
ENSG00000123908	Q9UKV8	Supported	Cytosol,Cytoplasmic bodies
ENSG00000126070	Q9H9G7	Supported	Nucleoplasm,Cytosol,Cytoplasmic bodies
ENSG00000134698	Q9HCK5	Supported	Cytosol,Cytoplasmic bodies
ENSG00000204310	Q99943	Supported	Endoplasmic reticulum,Rods & Rings
ENSG00000026652	Q9NRZ5	Approved	Nucleoli,Golgi apparatus,Vesicles
ENSG00000155189	Q9NUQ2	Supported	Mitochondria
ENSG00000018510	O00116	Supported	Peroxisomes
ENSG00000106541	O95994	Supported	Endoplasmic reticulum
ENSG00000173467	Q8TD06	Supported	Endoplasmic reticulum,Vesicles
ENSG00000188157	O00468	Approved	Plasma membrane,Cytosol
ENSG00000135049	Q9UPW5	Approved	Nucleoli,Vesicles
ENSG00000144891	P30556	Uncertain	Vesicles
ENSG00000177674	Q6RW13	Supported	Golgi apparatus,Vesicles
ENSG00000172482	P21549	Supported	Vesicles
ENSG00000153207	Q8WYP5	Supported	Nuclear membrane
ENSG00000101444	P23526	Supported	Cytosol
ENSG00000168710	O43865	Supported	Cytosol
ENSG00000158467	Q96HN2	Approved	Nucleoplasm,Cytosol
ENSG00000126705	Q5TGY3	Supported	Nucleoplasm
ENSG00000135541	Q8N157	Approved	Centrosome
ENSG00000124942	Q09666	Enhanced	Plasma membrane,Cytosol
ENSG00000185567	Q8IVF2	Enhanced	Plasma membrane,Cytosol
ENSG00000106546	P35869	Supported	Nucleoplasm,Cytosol
ENSG00000063438	A9YTQ3	Supported	Nucleoplasm,Cytosol
ENSG00000100591	O95433	Supported	Cytosol
ENSG00000145192	P02765	Enhanced	Golgi apparatus
ENSG00000186063	Q96BJ3	Approved	Microtubules,Cytokinetic bridge,Cytosol
ENSG00000204472	P55008	Uncertain	Cytosol
ENSG00000156709	O95831	Supported	Mitochondria
ENSG00000042286	Q9BRQ8	Supported	Vesicles,Plasma membrane,Cytosol
ENSG00000183773	Q96NN9	Supported	Mitochondria
ENSG00000146416	Q9NVV5	Approved	Golgi apparatus
ENSG00000163568	O14862	Supported	Nucleoplasm,Mitochondria,Cytosol
ENSG00000164022	Q12904	Enhanced	Cytosol
ENSG00000106305	Q13155	Approved	Cytosol
ENSG00000110711	O00170	Supported	Cytosol
ENSG00000129221	Q9NZN9	Uncertain	Nucleoplasm,Cytosol
ENSG00000232434	C9J069	Approved	Focal adhesion sites,Cytosol
ENSG00000129474	Q96IF1	Approved	Nucleoplasm,Golgi apparatus
ENSG00000106992	P00568	Supported	Cytosol
ENSG00000004455	P54819	Approved	Mitochondria
ENSG00000147853	Q9UIJ7	Supported	Mitochondria
ENSG00000162433	P27144	Supported	Mitochondria
ENSG00000154027	Q9Y6K8	Supported	Centriolar satellite,Cytosol
ENSG00000085231	Q9Y3D8	Supported	Nuclear speckles,Centrosome,Cytosol
ENSG00000155085	Q5TCS8	Enhanced	Nucleoplasm,Nuclear membrane
ENSG00000121057	Q92667	Supported	Mitochondria
ENSG00000108599	O43572	Supported	Plasma membrane,Cytosol
ENSG00000023516	Q9UKA4	Approved	Nucleoli,Plasma membrane,Cytosol
ENSG00000131016	Q02952	Enhanced	Plasma membrane,Cytosol
ENSG00000170776	Q12802	Supported	Cytosol
ENSG00000197976	Q02040	Supported	Nuclear speckles,Cytosol
ENSG00000179841	P24588	Approved	Nucleoplasm
ENSG00000118507	O43687, Q9P0M2	Approved	Vesicles
ENSG00000105127	O43823	Supported	Nucleoplasm
ENSG00000011243	Q9ULX6	Supported	Nuclear speckles
ENSG00000127914	Q99996	Enhanced	Golgi apparatus,Vesicles,Centrosome
ENSG00000166452	Q9NQ31	Supported	Nucleoplasm
ENSG00000174574	Q9H9L7	Approved	Nucleoplasm,Nuclear membrane
ENSG00000135334	Q53H80	Supported	Nucleoplasm
ENSG00000106948	Q7Z591	Supported	Nucleoplasm,Centrosome
ENSG00000162641	Q5T1N1	Approved	Microtubules,Cytokinetic bridge,Cytosol
ENSG00000117448	P14550	Supported	Nucleoplasm,Cytosol
ENSG00000085662	P15121	Supported	Nucleoplasm,Cytosol
ENSG00000198074	O60218	Supported	Plasma membrane,Cytosol
ENSG00000227471	C9JRZ8	Supported	Plasma membrane,Cytosol
ENSG00000187134	Q04828	Enhanced	Endoplasmic reticulum,Cytosol
ENSG00000151632	P52895	Approved	Nucleoplasm,Nucleoli fibrillar center,Endoplasmic reticulum,Cytosol
ENSG00000196139	P42330	Approved	Nucleoplasm,Nucleoli fibrillar center,Endoplasmic reticulum,Cytosol
ENSG00000198610	P17516	Approved	Nucleoplasm,Nucleoli fibrillar center,Endoplasmic reticulum,Cytosol
ENSG00000122787	P51857	Approved	Nucleoplasm,Cytosol
ENSG00000165568	Q96JD6	Supported	Nucleoplasm,Golgi apparatus
ENSG00000053371	O43488	Supported	Golgi apparatus,Cytosol
ENSG00000162482	O95154	Supported	Golgi apparatus,Cytosol
ENSG00000142208	P31749	Supported	Nucleoplasm,Microtubules
ENSG00000204673	Q96B36	Supported	Cytosol
ENSG00000105221	P31751	Supported	Nucleoplasm,Vesicles,Cytosol
ENSG00000117020	Q9Y243	Supported	Cytosol
ENSG00000111780		Approved	Mitochondria
ENSG00000288000		Approved	Nucleoplasm,Nuclear bodies,Midbody ring
ENSG00000282988		Approved	Nucleoplasm
ENSG00000285283		Supported	Endoplasmic reticulum
ENSG00000286235		Approved	Nucleoplasm,Cytosol
ENSG00000284969		Uncertain	Golgi apparatus,Vesicles
ENSG00000284776		Uncertain	Nucleoli,Cytosol
ENSG00000282218		Approved	Golgi apparatus
ENSG00000285547		Approved	Nucleoplasm,Cytosol
ENSG00000254692		Approved	Golgi apparatus
ENSG00000274944		Approved	Nucleoplasm,Mitochondria
ENSG00000256500		Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000187186		Approved	Nucleoli,Endoplasmic reticulum,Vesicles
ENSG00000285245		Uncertain	Nucleoplasm
ENSG00000288684		Approved	Plasma membrane,Cytosol
ENSG00000249967		Uncertain	Plasma membrane
ENSG00000288520	G9CGD6	Approved	Nucleoli,Nuclear speckles,Plasma membrane,Cytoplasmic bodies
ENSG00000285130		Approved	Nucleoplasm,Plasma membrane,Cell Junctions
ENSG00000286112		Approved	Cytosol
ENSG00000254706		Approved	Nucleoplasm
ENSG00000197991		Approved	Vesicles,Cytokinetic bridge
ENSG00000244255		Approved	Endoplasmic reticulum,Vesicles,Cell Junctions
ENSG00000250264		Approved	Nuclear speckles,Endoplasmic reticulum
ENSG00000277535		Approved	Nucleoli
ENSG00000148218	P13716	Approved	Cytosol
