genes	geneUniProtID	compartments
ENSG00000000419	O60762	Endoplasmic reticulum
ENSG00000001036	Q9BTY2	
ENSG00000001084	P48506	
ENSG00000001630	Q16850	Endoplasmic reticulum
ENSG00000002549	P28838	Cytosol
ENSG00000002587	O14792	Golgi apparatus
ENSG00000002726	P19801	
ENSG00000002746	Q76N89	Cytosol
ENSG00000003137	Q9NR63	Endoplasmic reticulum
ENSG00000003987	Q9Y216	Cytosol;Golgi apparatus
ENSG00000003989	P52569	
ENSG00000004455	P54819	
ENSG00000004468	P28907	
ENSG00000004478	Q02790	Cytosol;Nucleus
ENSG00000004779	O14561	
ENSG00000004799	Q16654	
ENSG00000004809	Q86VW1	
ENSG00000004864	Q9UJS0	
ENSG00000004939	P02730	
ENSG00000004961	P53701	
ENSG00000005022	P05141	
ENSG00000005075	P52435	Nucleus
ENSG00000005187	Q53FZ2	
ENSG00000005339	Q92793	Cytosol;Nucleus
ENSG00000005381	P05164	Lysosome
ENSG00000005421	P27169	
ENSG00000005469	Q9UKG9	Peroxisome
ENSG00000005471	P21439	Cytosol
ENSG00000005483	Q8IZD2	Cytosol;Nucleus
ENSG00000005810	O75592	Cytosol;Nucleus
ENSG00000005882	Q15119	
ENSG00000006007	Q9NZC3	Cytosol
ENSG00000006071	Q09428	
ENSG00000006530	Q53H12	
ENSG00000006534	P43353	Cytosol
ENSG00000006625	O75223	
ENSG00000006695	Q12887	
ENSG00000006756	P51689	
ENSG00000006757	P41247	
ENSG00000007001	O95045	
ENSG00000007168	P43034	Cytosol;Nucleus
ENSG00000007171	P35228	Cytosol
ENSG00000007216	Q13183	
ENSG00000007350	P51854	Cytosol;Nucleus
ENSG00000007541	Q9BRB3	
ENSG00000007933	P31513	Endoplasmic reticulum
ENSG00000007944	Q8WY64	Cytosol
ENSG00000008130	O95544	
ENSG00000008300	Q9NYQ7	
ENSG00000008311	Q9UDR5	
ENSG00000008394	P10620	Endoplasmic reticulum
ENSG00000008438	O75594	Cytosol
ENSG00000008513	Q11201	Golgi apparatus
ENSG00000009335	Q15386	
ENSG00000009413	O60673	Nucleus
ENSG00000009830	Q9UKY4	Endoplasmic reticulum
ENSG00000010165	Q8N6R0	Cytosol;Nucleus
ENSG00000010256	P31930	
ENSG00000010379	Q9NSD5	
ENSG00000010404	P22304	Lysosome
ENSG00000010932	Q01740	Endoplasmic reticulum
ENSG00000011009	O95372	Cytosol
ENSG00000011052		
ENSG00000011083	Q99884	
ENSG00000011198	Q8WTS1	Cytosol
ENSG00000011275	Q9NWF9	Cytosol
ENSG00000011405	O00443	Cytosol;Golgi apparatus;Nucleus
ENSG00000012232	O43909	Endoplasmic reticulum;Golgi apparatus
ENSG00000012660	Q9NYP7	Endoplasmic reticulum
ENSG00000012779	P09917	Cytosol;Nucleus
ENSG00000012963	Q8N806	
ENSG00000013288	Q9Y2E5	
ENSG00000013375	O95394	
ENSG00000013392	Q9UIY3	
ENSG00000013503	Q9NW08	Nucleus
ENSG00000013561	Q9UBS8	Cytosol;Nucleus
ENSG00000014138	Q14181	Nucleus
ENSG00000014257	P15309	Cytosol;Lysosome;Nucleus
ENSG00000014641	P40925	Cytosol
ENSG00000015413	P16444	
ENSG00000015520	Q9UHC9	Cytosol
ENSG00000015532	Q9H1B5	Golgi apparatus
ENSG00000016391	Q8NE62	
ENSG00000016864	Q68CQ7	
ENSG00000017260	P98194	Golgi apparatus
ENSG00000017483	Q8WUX1	
ENSG00000017797	Q15311	Cytosol;Nucleus
ENSG00000018280	P49279	
ENSG00000018510	O00116	Peroxisome
ENSG00000018625	P50993	
ENSG00000019186	Q07973	
ENSG00000021461	Q9HB55	Endoplasmic reticulum
ENSG00000021488	P82251	
ENSG00000021826	P31327	Nucleus
ENSG00000023041	Q9H6R6	Endoplasmic reticulum
ENSG00000023228	P28331	
ENSG00000023330	P13196	
ENSG00000023572	Q9NS18	Nucleus
ENSG00000023697	Q9Y315	Cytosol;Nucleus
ENSG00000023839	Q92887	
ENSG00000023909	P48507	
ENSG00000024048	Q8IWV8	Nucleus
ENSG00000025423	O14756	
ENSG00000025708	P19971	
ENSG00000025800	O60684	
ENSG00000026103	P25445	
ENSG00000026652	Q9NRZ5	Endoplasmic reticulum
ENSG00000027847	Q9UBV7	Golgi apparatus
ENSG00000029639	Q8WVM0	
ENSG00000030066	Q12769	Nucleus
ENSG00000031698	P49591	Cytosol;Nucleus
ENSG00000032444	Q8IY17	Endoplasmic reticulum
ENSG00000033011	Q9BT22	Endoplasmic reticulum
ENSG00000033100	Q9P2E5	
ENSG00000033170	Q9BYC5	Golgi apparatus
ENSG00000033178	A0AVT1	
ENSG00000033627	Q93050	Cytosol
ENSG00000033867	Q9Y6M7	
ENSG00000034677	Q9NV58	Cytosol
ENSG00000035687	P30520	Cytosol
ENSG00000036473	P00480	
ENSG00000036530	Q9Y6A2	Endoplasmic reticulum
ENSG00000036565	P54219	Cytosol;Endoplasmic reticulum
ENSG00000036672	O75604	Cytosol;Nucleus
ENSG00000037757	Q9BV20	Cytosol;Nucleus
ENSG00000037897	Q9UBP6	Nucleus
ENSG00000038002	P20933	Lysosome
ENSG00000038210	Q8TCG2	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000038274	Q9NZL9	
ENSG00000039123	P42285	Nucleus
ENSG00000039650	Q96T60	Nucleus
ENSG00000040933	Q96PE3	Cytosol;Nucleus
ENSG00000041880	Q9Y6F1	Cytosol;Nucleus
ENSG00000043514	Q9H3H1	Cytosol
ENSG00000044446	P46019	Cytosol
ENSG00000047230	Q9NRF8	
ENSG00000047249	Q9UI12	Cytosol
ENSG00000047315	P30876	Nucleus
ENSG00000047410	P12270	Cytosol;Nucleus
ENSG00000047457	P00450	
ENSG00000048028	Q96RU2	Nucleus
ENSG00000048392	Q7LG56	Cytosol;Nucleus
ENSG00000049239	O95479	Endoplasmic reticulum
ENSG00000049759	Q96PU5	Cytosol;Golgi apparatus
ENSG00000049860	P07686	Cytosol;Lysosome
ENSG00000050438	Q2Y0W8	
ENSG00000051341	O75417	Nucleus
ENSG00000051382	P42338	Cytosol;Nucleus
ENSG00000052802	Q15800	Endoplasmic reticulum
ENSG00000053371	O43488	Cytosol;Golgi apparatus
ENSG00000054148	Q9NRX4	Cytosol
ENSG00000054179	Q9Y5L3	Endoplasmic reticulum
ENSG00000054267	Q4LE39	Cytosol;Nucleus
ENSG00000054392	Q5VTY9	Endoplasmic reticulum;Golgi apparatus
ENSG00000054983	P54803	Lysosome
ENSG00000055483	Q9P275	Cytosol;Nucleus
ENSG00000055609	Q8NEZ4	Nucleus
ENSG00000056998	O15488	
ENSG00000057252	P35610	Endoplasmic reticulum
ENSG00000058056	Q92995	
ENSG00000058600	Q9NVU0	Nucleus
ENSG00000058668	P23634	
ENSG00000058804	Q9BTX1	Nucleus
ENSG00000058866	P49619	Cytosol
ENSG00000059377	P24557	Endoplasmic reticulum
ENSG00000059378	Q9H0J9	Nucleus
ENSG00000059573	P54886	
ENSG00000059588	Q13395	
ENSG00000059804	P11169	
ENSG00000060642	Q9NUD9	Endoplasmic reticulum
ENSG00000060762	Q9Y5U8	
ENSG00000060971	P09110	Peroxisome
ENSG00000060982	P54687	Cytosol
ENSG00000061918	Q02153	Cytosol
ENSG00000062282	Q96PD7	Cytosol;Endoplasmic reticulum
ENSG00000062485	O75390	
ENSG00000062822	P28340	Nucleus
ENSG00000063176	Q9NRA0	Cytosol;Lysosome;Endoplasmic reticulum;Nucleus
ENSG00000063601	Q13613	Cytosol
ENSG00000063854	Q16775	Cytosol
ENSG00000064225	Q9Y274	Golgi apparatus
ENSG00000064270	O75185	Golgi apparatus
ENSG00000064601	P10619	Lysosome
ENSG00000064651	P55011	
ENSG00000064763	Q96K12	Peroxisome
ENSG00000065154	P04181	
ENSG00000065357	P23743	Cytosol
ENSG00000065427	Q15046	Cytosol;Nucleus
