# Date: 2019-03-08
rxns	eqnOrig	eqnNew	lbOrig	lbNew	ubOrig	ubNew	notes
DM_12dhchol[c]	12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_13_cis_oretn_n_	13-cis-oxo-retinoate[n] => 13-cis-oxo-retinoate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_13_cis_retn_n_	13-cis-retinoate[n] => 13-cis-retinoate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_15HPET[n]	15(S)-HPETE[n] => 15(S)-HPETE[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_15HPET[r]	15(S)-HPETE[r] => 15(S)-HPETE[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_15HPET[x]	15(S)-HPETE[p] => 15(S)-HPETE[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_1a2425thvitd2[m]	1-alpha,24R,25-trihydroxyvitamin D2[m] => 1-alpha,24R,25-trihydroxyvitamin D2[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_1a25dhvitd3[n]	calcitriol[n] => calcitriol[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_3dhcdchol[c]	3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[c] => 3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_3dhchol[c]	3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_3dhdchol[c]	3-dehydro-Deoxycholate[c] => 3-dehydro-Deoxycholate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_3dhlchol[c]	3-dehydro-Lithocholate[c] => 3-dehydro-Lithocholate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_4abut[c]	4-aminobutyrate[c] => 4-aminobutyrate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_4abut[n]	4-aminobutyrate[n] => 4-aminobutyrate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_4glu56dihdind[c]	4-S-Glutathionyl-5,6-Dihydroxyindoline[c] => 4-S-Glutathionyl-5,6-Dihydroxyindoline[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_4hrpo	trans-4-hydroxy-L-proline[m] => trans-4-hydroxy-L-proline[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_5cysdopa[c]	5-S-Cysteinyldopamine[c] => 5-S-Cysteinyldopamine[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_5hpet[r]	5(S)-HPETE[r] => 5(S)-HPETE[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_5mthf[n]	5-methyl-THF[n] => 5-methyl-THF[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_6hddopaqn[c]	6-Hydroxydopamine-Quinone[c] => 6-Hydroxydopamine-Quinone[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_7dhcdchol[c]	7-Dehydrochenodeoxycholic acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[c] => 7-Dehydrochenodeoxycholic acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_7dhchol[c]	7-Dehydrocholic acid; 7-Oxodeoxycholic acid; 7oxo-3alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[c] => 7-Dehydrocholic acid; 7-Oxodeoxycholic acid; 7oxo-3alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_Asn_X_Ser_Thr_ly_	[protein]-L-asparagine[l] => [protein]-L-asparagine[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_C02712[c]	N-acetylmethionine[c] => N-acetylmethionine[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_CE1261[c]	5-S-cysteinyldopa[c] => 5-S-cysteinyldopa[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_CE1562[c]	5,6-indolequinone-2-carboxylate[c] => 5,6-indolequinone-2-carboxylate[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_CE4888[c]	dopaminochrome[c] => dopaminochrome[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_CE5025[c]	5-S-glutathionyl-dopamine[c] => 5-S-glutathionyl-dopamine[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_CE5026[c]	5-S-glutathionyl-L-dopa[c] => 5-S-glutathionyl-L-dopa[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_HMR_biomass_renalcancer	biomass[c] => biomass[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_K_c_	K+[c] => K+[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_Lcystin	cystine[c] => cystine[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_Lkynr[c]	kynurenine[c] => kynurenine[x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
DM_PROTEIN	[protein][c] => [protein][x]	(DELETED)	0.000000	0.000000	0.000000	0.000000	Sink/Demand reaction removed because it is artificial and unnecessary.
