reaction,name,mass_imbalance,charge_imbalance
MAR01355,"arachidonate to 8-peroxy-(5Z,9E,11Z,14Z)-eicosatetraenoate conversion",,1
MAR01358,"arachidonate to 9-peroxy-(5Z,7E,11Z,14Z)-eicosatetraenoate conversion",,2
MAR01361,"arachidonate to 11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate conversion",,2
MAR01363,"9,11,15-trihydroxyprosta-(5Z,13E)-dien-1-oate hydrolysis",,4
MAR01364,"arachidonate to 12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate conversion",,2
MAR01366,"11,15-cyclo-12,14-cycloperoxy... to 11,15-cyclo-8,12,14-trihydroxy... conversion",,-4
MAR01383,9-deoxy-delta12-PGD2 hydrolysis,,2
MAR01389,15(S)-HETrE hydrolysis,,2
MAR01392,prostaglandin-endoperoxide synthase (prostaglandin G1),,-2
MAR01393,prostaglandin-endoperoxide synthase (prostaglandin G1),,-2
MAR01403,7-peroxy-docosahexaenoate to DHA conversion,,-2
MAR01404,8-peroxy-docosahexaenoate to DHA conversion,,-2
MAR01405,DHA to 10-peroxy-docosahexaenoate conversion,,2
MAR01406,11-peroxy-docosahexaenoate to DHA conversion,,-2
MAR01407,14-peroxy-docosahexaenoate to DHA conversion,,-2
MAR01408,16-peroxy-docosahexaenoate to DHA conversion,,-2
MAR01409,17-peroxy-docosahexaenoate to DHA conversion,,-2
MAR01410,DHA to 11-peroxy-docosahexaenoate conversion,,1
MAR01411,DHA to 11-peroxy-docosahexaenoate conversion,,1
MAR01412,DHA to 10-hydroperoxy-H4-neuroprostane conversion,,1
MAR01413,DHA to 11-hydroperoxy-H4-neuroprostane conversion,,1
MAR01414,DHA to 13-hydroperoxy-H4-neuroprostane conversion,,1
MAR01416,DHA to 14-peroxy-docosahexaenoate conversion,,1
MAR01417,DHA to 16-peroxy-docosahexaenoate conversion,,1
MAR01418,4-hydroperoxy-H4-neuroprostane to 4-hydroxy-D4-neuroprostane conversion,,-2
MAR01419,4-hydroperoxy-H4-neuroprostane to 4-hydroxy-E4-neuroprostane conversion,,-2
MAR01427,13-hydroperoxy-H4-neuroprostane to 13-hydroxy-D4-neuroprostane conversion,,-2
MAR01430,17-hydroperoxy-H4-neuroprostane to 17-hydroxy-E4-neuroprostane conversion,,-2
MAR01431,17-hydroperoxy-H4-neuroprostane to 17-hydroxy-D4-neuroprostane conversion,,-2
MAR01453,Hydroxypyruvate Reductase (NADH),,-2
MAR01500,4alpha-methylzymosterol:NADP+ 3-oxidoreductase,,-4
MAR01600,Peroxisomal Lumped Long Chain Fatty Acid Oxidation,,2
MAR01932,Cholesterol:oxygen oxidoreductase (side-chain-cleaving),,-2
MAR01934,"17alpha,20alpha-Dihydroxycholesterol:oxygen oxidoreductase (side-chain-cleaving)",,-4
MAR01935,20alpha-Hydroxycholesterol:oxygen oxidoreductase (side-chain-cleaving),,-2
MAR01942,cytochrome P450 (11-deoxycorticosterone),,-2
MAR01950,"17alpha,21-dihydroxypregnenolone:oxygen oxidoreductase (11-hydroxylating)",,-2
MAR01970,"steroid Delta-isomerase (5-androstene-3,17-dione)",,-2
MAR01971,"steroid Delta-isomerase (5-androstene-3,17-dione)",,-2
MAR02022,3beta-hydroxy-Delta(5)-steroid dehydrogenase (5-alpha-dihydrotestosterone),,2
MAR02023,"L-Arginine, NADPH:Oxygen Oxidoreductase (Nitric-Oxide-Forming)",,1
MAR02024,3beta-hydroxy-Delta(5)-steroid dehydrogenase (5-alpha-dihydrotestosterone),,2
MAR02029,cytochrome P450 (testosterone),,-2
MAR02030,cytochrome P450 (19-hydroxytestosterone),,-2
MAR02032,"19-hydroxyandrostenedione,NADPH-hemoprotein reductase:oxygen 19-oxidoreductase",,-2
MAR02033,cytochrome P450 (19-hydroxyandrostenedione),,-2
MAR02061,peroxidase (2-hydroxyestrone),,-1
MAR02062,peroxidase (2-hydroxyestrone),,-1
MAR02063,peroxidase (2-hydroxyestrone),,-1
MAR02076,peroxidase (4-hydroxyestrone),,-1
MAR02077,peroxidase (4-hydroxyestrone),,-1
MAR02078,peroxidase (4-hydroxyestrone),,-1
MAR02091,"17beta-estradiol-3,4-semiquinone to 17beta-estradiol-3,4-quinone conversion",,-1
MAR02099,"peroxidase (17beta-estradiol-2,3-semiquinone)",,1
MAR02100,"peroxidase (17beta-estradiol-2,3-semiquinone)",,1
MAR02126,stearoyl-CoA desaturase (ferrocytochrome B5),,-2
MAR02128,stearoyl-CoA desaturase (ferrocytochrome B5),,-2
MAR02301,Hydroxysteroid (17-Beta) Dehydrogenase 7,,-4
MAR02302,Biosynthesis of Steroids Enzyme Catalyzed,,6
MAR02313,Long-Chain-Fatty-Acid-Coa Ligase,,-8
MAR02443,13(S)-HPODE to 13-oxy-radical-octadecadienoate conversion,,-2
MAR02449,"12,13-epoxy-9-alkoxy-(10E)-octadecenoate hydrolysis",,-1
MAR02451,"1-hydroperoxy-8-carboxyoctyl-3,4... to 4-oxo-2-nonenal conversion",,2
MAR02545,5(S)-HEPE hydrolysis,,2
MAR02559,15(S)-HEPE hydrolysis,,2
MAR02560,15(R)-HEPE hydrolysis,,2
MAR02567,15(R)-HEPE hydrolysis,,2
MAR02571,15(R)-HEPE hydrolysis,,2
MAR02577,15(R)-HEPE hydrolysis,,2
MAR03055,"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA oxidation",,-8
MAR03119,tryptase (melatonin),,2
MAR03138,Methionine Synthase,,-2
MAR03167,glutathione transferase (urate),,1
MAR03168,peptidyl-dipeptidase A (melatonin),,1
MAR03255,melatonin radical to cyclic-3-hydroxymelatonin conversion,,1
MAR03265,prostaglandin-F synthase (monodehydroascorbate),,1
MAR03321,acyl-CoA oxidase (4-cis-decenoyl-CoA),,2
MAR03400,3Beta-Hydroxy-Delta5-Steroid Dehydrogenase,,-2
MAR03437,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA reduction",,-2
MAR03438,"ELOVL fatty acid elongase ((4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA)",,-2
MAR03439,"ELOVL fatty acid elongase ((7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA)",,2
MAR03440,"ELOVL fatty acid elongase ((7Z,10Z,13Z,16Z)...)",,2
MAR03483,acetyl-CoA C-acyltransferase,,-2
MAR03537,"cholesterol-ester plasma pool to cholesterol-ester-10,13,16,19-docosa conversion",C:16.764;H:31.3344;O:-2.22045e-16;R:-1,
MAR03622,"cholesterol-ester plasma pool to cholesterol-ester-10,13,16,19-docosa conversion",C:16.764;H:31.3344;O:-2.22045e-16;R:-1,
MAR03800,branched chain keto acid dehydrogenase E1 (2-oxobutyrate),H:1;S:1,
MAR03830,"enoyl-CoA hydratase (9,10-12,13-diepoxy-octadecanoate)",,1
MAR03962,arachidonate 5-lipoxygenase (prostaglandin D2),,-2
MAR03992,NADH:ferricytochrome-b5 oxidoreductase,,2
MAR04007,acyl-CoA oxidase (gamma-tocopheroxyl-radical),,1
MAR04015,Methionine Synthase,,4
MAR04027,Microsomal Epoxide Hydrolase,,2
MAR04029,Microsomal Epoxide Hydrolase,,2
MAR04031,Microsomal Epoxide Hydrolase,,2
MAR04033,Microsomal Epoxide Hydrolase,,2
MAR04035,Microsomal Epoxide Hydrolase,,2
MAR04037,Microsomal Epoxide Hydrolase,,2
MAR04088,Unspecific Monooxygenase,,2
MAR04090,Unspecific Monooxygenase,,2
MAR04548,"melatonin,NADPH-hemoprotein reductase:oxygen oxidoreductase",,-2
MAR04549,6-hydroxymelatonin-sulfate to 6-hydroxymelatonin conversion,,-2
MAR04552,hydroxide to melatonin radical conversion,,1
MAR04553,cyclic-3-hydroxymelatonin hydrolysis,,-1
MAR04599,oxoglutarate dehydrogenase (succinyl-transferring) (lipoamide),H:-2;S:-2,
MAR04702,homogentisate hydroxylation,,2
MAR04763,heme oxygenase (biliverdin-producing) (hemoglobin),,1
MAR04768,uroporphyrin III to uroporphyrinogen III conversion,,-6
MAR04769,uroporphyrin I to uroporphyrinogen III conversion,,-6
MAR04770,coproporphyrin III to coproporphyrinogen III conversion,,-6
MAR04773,coproporphyrin I to coproporphyrinogen I conversion,,-6
MAR04842,aldehyde dehydrogenase [NAD(P)(+)] (SAM),,-1
MAR05155,glycyl-tRNA(gly) phosphorylation,C:-611;H:-1000;N:-165;O:-176;R:1;S:-7,
MAR05156,glycyl-tRNA(gly) phosphorylation,C:-452;H:-708;N:-103;O:-143;R:1;S:-6,
MAR05257,(10Z)-heptadecenoic acid formation,C:16.8292;H:31.8668;O:-7.62411e-16;R:-1,3.81205e-16
MAR05266,apo-[ACP] phosphorylation,C:611;H:1000;N:165;O:176;R:-1;S:7,
MAR05267,mitoApo-[ACP] phosphorylation,C:452;H:708;N:103;O:143;R:-1;S:6,
MAR05427,"Fatty Acid Omega Oxidation (C22->W-Ohc22), Endoplasmatic Reticulum",,1
MAR06350,Fatty Acid Omega Oxidation (W-Ohc22->C22Dc),,-1
MAR06393,hydroxide to dehydroascorbic acid conversion,,1
MAR06402,octanoyl-[acp]:protein N6-octanoyltransferase,C:1367;H:2173;N:381;O:419;S:4,
MAR06416,lipoamide to S-(2-methylpropanoyl)... conversion,H:-1;N:-4;S:-1,
MAR06419,lipoamide to S-(2-methylbutanoyl)... conversion,H:-1;S:-1,
MAR06421,lipoamide to S-(3-methylbutanoyl)... conversion,H:-1;S:-1,
MAR06456,gamma-tocopheroxyl-radical to gamma-tocopherol conversion,,-1
MAR06457,8alpha-hydroxy-gamma-tocopherone to gamma-tocopheroxyl-radical conversion,,-1
MAR06459,5-nitro-gamma-tocopherol to gamma-tocopheroxyl-radical conversion,,-1
MAR06605,urate radical hydrolysis,,-1
MAR06608,hydroxide to hydroxyl radical conversion,,1
MAR06634,cytochrome P450 (retinol),,2
MAR06664,cytochrome P450 (9-cis-retinoate),,2
MAR06665,cytochrome P450 (9-cis-retinoate),,2
MAR06720,kynurenine glucuronidation,,-2
MAR06729,L-Tyrosine:oxygen oxidoreductase,,-2
MAR06740,dopa decarboxylase (salsolinol-1-carboxylate),,2
MAR06779,Transport of Phytanoylcoa from Cytosol to Peroxisomes,C:4;H:-24,
MAR06792,4-hydroxy-3-nitrophenylacetate to 4-hydroxyphenylacetate conversion,,-2
MAR06806,"N,N-dimethylindoliumolate to N,N-dimethyldopaminequinone conversion",,-2
MAR06814,crystallin zeta (aminochrome-O-semiquinone),,-1
MAR06819,crystallin zeta (adrenochrome-O-semiquinone),,-1
MAR06822,noradrenaline to noradrenochrome conversion,,4
MAR06823,crystallin zeta (noradrenochrome-O-semiquinone),,-1
MAR06881,"3,4-dihydro-1,4-benzothiazine-3-carboxylate decarboxylation",,2
MAR06885,crystallin zeta (L-dopachrome),,1
MAR06974,[protein] to [protein]-L-lysine conversion,C:1;H:1;N:1;O:1;R:2;X:-1,
MAR06978,"signal peptidase I ([protein]-N6,N6,N6-trimethyl-L-lysine)",C:-1;H:-1;N:-1;O:-1;R:-2;X:1,
MAR07006,"naphthalene-1,2-diol to 1,2-naphthoquinone conversion",,2
MAR07010,"1,4-dihydroxynaphthalene to 1,4-naphthoquinone conversion",,2
MAR07025,D-arabinitol 4-dehydrogenase (aflatoxin B1 dialdehyde),,-2
MAR07026,D-arabinitol 4-dehydrogenase,,-2
MAR07027,D-arabinitol 4-dehydrogenase (aflatoxin B1 dialdehyde),,-2
MAR07028,D-arabinitol 4-dehydrogenase,,-2
MAR07046,"4-bromocatechol to 4-bromo-3,5-cyclohexadiene-1,2-dione conversion",,2
MAR07047,"bromobenzene-3,4-dihydrodiol to 4-bromocatechol conversion",,2
MAR07070,4-hydroxy-1-(3-pyridinyl)-1-butanone hydroxylation,,2
MAR07076,"1-(3-pyridinyl)-1,4-butanediol hydroxylation",,2
MAR07085,1-nitronaphthalene to 1-nitrosonaphthalene conversion,,-2
MAR07086,1-nitrosonaphthalene to N-hydroxy-1-aminonaphthalene conversion,,-2
MAR07087,N-hydroxy-1-aminonaphthalene to 1-naphthylamine conversion,,-2
MAR07106,S-(formylmethyl)glutathione to S-(2-hydroxyethyl)glutathione conversion,,-2
MAR07160,Deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase,C:0.2;H:5.7;N:-3.7;O:2;R:2,1
MAR07161,nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed),C:5.48;H:11.18;N:-3.86;O:12;P:2;R:3,-3
MAR07162,polyribonucleotide nucleotidyltransferase (RNA),C:-5.48;H:-11.18;N:3.86;O:-12;P:-2;R:-3,3
MAR07163,exodeoxyribonuclease III (DNA),C:-0.2;H:-5.7;N:3.7;O:-2;P:-5.55112e-17;R:-2,-1
MAR07164,exodeoxyribonuclease III (RNA),C:-5.48;H:-11.18;N:3.86;O:-12;P:-2;R:-3,3
MAR07165,[protein] to [protein]-L-cysteine conversion,C:1;H:1;N:1;O:1;R:2;X:-1,
MAR07197,[protein] to [protein]-L-serine conversion,C:-3;H:-4;N:-1;O:-2,
MAR07282,[protein] to [protein]-L-asparagine conversion,C:-4;H:-5;N:-2;O:-2,
MAR07601,plasmanylethanolamine desaturase,C:2;H:4,
MAR07616,[protein] to [protein]-L-tyrosine conversion,C:1;H:1;N:1;O:1;R:2;X:-1,
MAR07621,[protein] to [protein]-L-arginine conversion,C:1;H:1;N:1;O:1;R:2;X:-1,
MAR07625,NAD+:protein-L-arginine ADP-D-ribosyltransferase,C:-1;H:-1;N:-1;O:-1;R:-2;X:1,
MAR07741,Ferredoxin:NADP+ oxidoreductase,,-2
MAR08029,"signal peptidase I ([protein]-N6,N6,N6-trimethyl-L-lysine)",C:-1;H:-1;N:-1;O:-1;R:-2;X:1,
MAR08433,dihydrolipoyl dehydrogenase ([protein]-N6-(lipoyl)lysine),C:-1367;H:-2170;N:-380;O:-419;S:-4,
MAR08434,dihydrolipoyl dehydrogenase (S-aminomethyldihydrolipoamide),C:1367;H:2170;N:380;O:419;S:4,
MAR08607,4-methylthio-2-oxobutanoic acid to glutamate conversion,,-2
MAR08615,ATP:cob(I)alamin Co-beta-adenosyltransferase,,1
MAR09487,NAD+:poly(adenosine diphosphate D-ribose)ADP-D-ribosyltransferase,,2
MAR09491,E2 ubiquitin-conjugating enzyme ([protein]-L-lysine),,-1
MAR09735,[protein]-L-citrulline hydrolysis,C:-1;H:-1;N:-1;O:-1;R:-2;X:1,
MAR09932,cholesterol phosphorylation,C:-5.56881;H:-9.55269;N:-0.519135;O:-5.56751;P:-0.718984;R:-0.547902;X:1,0.820554
MAR10033,Fatty acid pool formation and breakdown,C:16.9524;H:31.9518;O:-4.44089e-16;R:-1,2.22045e-16
MAR10034,Fatty acid pool formation and breakdown,C:16.9524;H:31.9518;O:-4.44089e-16;R:-1,2.22045e-16
MAR10035,1-acylglycerol-3-phosphate pool formation and breakdown,C:16.9524;H:31.9518;O:-8.88178e-16;P:-2.22045e-16;R:-1,4.44089e-16
MAR10036,acyl-CoA pool formation and breakdown,C:16.9524;H:31.9518;N:-8.88178e-16;O:-3.55271e-15;P:-4.44089e-16;R:-1;S:-2.22045e-16,8.88178e-16
MAR10037,cholesterol-ester pool formation and breakdown,C:16.9524;H:31.9518;O:-3.51043e-15;R:-1,
MAR10038,cholesterol-ester pool formation and breakdown,C:16.9524;H:31.9518;O:-3.51043e-15;R:-1,
MAR10061,fatty acyl-CoA reduction,C:-1;H:-2,
MAR10984,Hydrolysis of AlaGlyLys,,-1
MAR11039,Hydrolysis of GlnHisLys,,2
MAR11040,Hydrolysis of GlnLysLys,,4
MAR11099,Hydrolysis of LysArgLeu,,-1
MAR11142,Hydrolysis of ProHisTyr,,1
MAR11145,Hydrolysis of ProPhe,,-1
MAR12017,Dopamine-O-Quinone Oxidase,,-1
MAR12991,3HPVSCOAhc,,-1
MAR12992,3HPVSTEThc,,1
MAR12993,ACMPGLUTTRsc,,-1
MAR12994,FVSCOAhc,,-1
MAR12995,MDZGLChr,,-1
MAR13078,PROTEIN_BS,C:-32.5694;H:-66.0418;N:-9.3852;O:-16.5863;S:-0.283;X:1,-0.202
MAR13081,CYOOm3i,O:-3.46945e-17,0.06
MAR20008,MAR20008,,1
MAR20168,MAR20168,C:-1367;H:-2170;N:-380;O:-419;S:-4,
MAR20173,2-oxoadipate decarboxylation,H:2;S:2,
MAR20174,branched chain keto acid dehydrogenase E1 (3-methyl-2-oxobutyrate),H:1;N:4;S:1,
MAR20175,branched chain keto acid dehydrogenase E1 (2-oxo-3-methylvalerate),H:1;S:1,
MAR20176,branched chain keto acid dehydrogenase E1 (4-methyl-2-oxopentanoate),H:1;S:1,
MAR20177,lipoamide to thiamin-PP conversion,H:1;S:-1,
MAR20178,propanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-propanoyltransferase,H:-2,
MAR20189,Reduction of alpha-tocopheryl quinone by Complex III,H:1,-3
