reaction_id	reaction_equation	dead_end_test	duplicate_test_exact	duplicate_test_directions	duplicate_test_coefficients	duplicate_test_redox
MAR06934	MAM02040c + MAM02630c + MAM02925c --> MAM02039c + MAM02041c + MAM02578c + MAM02924c	MAM02924c;MAM02925c	ok	ok	ok	N/A
MAR06936	MAM01802x + MAM02040x + MAM02925x --> MAM01803x + MAM02039x + MAM02578x + MAM02924x	MAM02924x;MAM02925x	ok	ok	ok	N/A
MAR06939	MAM01597x + MAM02039x + MAM02503x <=> MAM01261x + MAM02923x	MAM02503x;MAM02923x	ok	ok	ok	N/A
MAR06941	MAM02040c + MAM02630c + MAM02923c --> MAM02039c + MAM02041c + MAM02578c + MAM02921c	MAM02921c	ok	ok	ok	N/A
MAR06943	MAM01802x + MAM02040x + MAM02923x --> MAM01803x + MAM02039x + MAM02578x + MAM02921x	MAM02921x;MAM02923x	ok	ok	ok	N/A
MAR06944	MAM02040c + MAM02630c + MAM02923c --> MAM02039c + MAM02041c + MAM02578c + MAM02922c	MAM02922c	ok	ok	ok	N/A
MAR06946	MAM01802x + MAM02040x + MAM02923x --> MAM01803x + MAM02039x + MAM02578x + MAM02922x	MAM02922x;MAM02923x	ok	ok	ok	N/A
MAR06947	MAM02040c + MAM02630c + MAM02921c --> MAM02039c + MAM02041c + MAM02578c + MAM02920c	MAM02920c;MAM02921c	ok	ok	ok	N/A
MAR06949	MAM01802x + MAM02040x + MAM02921x --> MAM01803x + MAM02039x + MAM02578x + MAM02920x	MAM02920x;MAM02921x	ok	ok	ok	N/A
MAR06950	MAM02040c + MAM02630c + MAM02922c --> MAM02039c + MAM02041c + MAM02578c + MAM02920c	MAM02920c;MAM02922c	ok	ok	ok	N/A
MAR06952	MAM01802x + MAM02040x + MAM02922x --> MAM01803x + MAM02039x + MAM02578x + MAM02920x	MAM02920x;MAM02922x	ok	ok	ok	N/A
MAR06953	MAM02040c + MAM02552c + MAM02921c --> 2 MAM02039c + MAM02553c + MAM02811c	MAM02811c;MAM02921c	ok	ok	ok	N/A
MAR06954	MAM02040c + MAM02552c + MAM02922c --> 2 MAM02039c + MAM02188c + MAM02553c	MAM02188c;MAM02922c	ok	ok	ok	N/A
MAR06955	MAM00557m + MAM02040m <=> MAM00969m	MAM00557m;MAM00969m	ok	ok	ok	N/A
MAR06956	MAM01597c + MAM02039c + MAM02501c <=> MAM01261c + MAM02504c	MAM02501c;MAM02504c	ok	ok	ok	N/A
MAR06957	MAM01597x + MAM02039x + MAM02501x <=> MAM01261x + MAM02504x	MAM02501x;MAM02504x	ok	ok	ok	N/A
MAR06958	MAM02040c + MAM02504c + MAM02630c --> MAM01250c + MAM02041c + MAM02923c	MAM01250c;MAM02504c	ok	ok	ok	N/A
MAR06959	MAM01802x + MAM02040x + MAM02504x --> MAM01250x + MAM01803x + MAM02923x	MAM01250x;MAM02504x;MAM02923x	ok	ok	ok	N/A
MAR06960	MAM01597c + MAM02039c + MAM02502c <=> MAM01261c + MAM02503c	MAM02502c	ok	ok	ok	N/A
MAR06961	MAM02040c + MAM02503c + MAM02630c --> MAM01250c + MAM02041c + MAM02812c	MAM01250c	ok	ok	ok	N/A
MAR06962	MAM01802x + MAM02040x + MAM02503x --> MAM01250x + MAM01803x + MAM02812x	MAM01250x;MAM02503x;MAM02812x	ok	ok	ok	N/A
MAR06963	MAM02040c + MAM02501c + MAM02630c --> MAM01250c + MAM02041c + MAM02503c	MAM01250c;MAM02501c	ok	ok	ok	N/A
MAR06964	MAM01802x + MAM02040x + MAM02501x --> MAM01250x + MAM01803x + MAM02503x	MAM01250x;MAM02501x;MAM02503x	ok	ok	ok	N/A
MAR06967	MAM00248c + MAM01670c <=> MAM02426c + MAM02923c	MAM01670c	ok	ok	ok	N/A
MAR06973	2 MAM02039c + MAM02553c + MAM02919c <=> MAM02040c + MAM02552c + MAM02925c	MAM02919c;MAM02925c	ok	ok	ok	N/A
MAR08608	MAM01742c + MAM02630c --> MAM00558c + MAM02039c + MAM02041c	MAM00558c	ok	ok	ok	N/A
MAR03794	MAM01597m + MAM02039m + MAM02530m <=> MAM01261m + MAM01307m	MAM02530m	ok	ok	ok	N/A
MAR04466	MAM02154c --> MAM00646c	MAM00646c	ok	ok	ok	N/A
MAR04937	MAM01307c + MAM02026c <=> MAM01626c + MAM01930c	MAM01930c	ok	ok	ok	N/A
MAR04426	MAM01259c + MAM01597c + MAM02039c <=> MAM01261c + MAM01423c	MAM01259c	ok	ok	ok	N/A
MAR05340	MAM02040c + MAM02867c --> MAM02579c + MAM02865c	MAM02865c	ok	ok	ok	N/A
MAR08786	MAM02040m + MAM02165m + MAM02552m --> 2 MAM02039m + MAM02166m + MAM02553m	MAM02165m;MAM02166m	ok	ok	ok	N/A
MAR04241	MAM02039n + MAM02129n + MAM02871n <=> MAM02127n + MAM02877n	MAM02127n	ok	ok	ok	N/A
