mets,name,issue,model_formula,model_charge,smiles_formula,smiles_charge,metSmiles
MAM00015x,(13E)-tetranor-16-oxo-16-CoA-LTE4,protonation,C40H56N8O22P3S2,-5,C40H57N8O22P3S2-4,-4,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)C/C=C/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)O)[C@@H](O)CCCC(=O)O
MAM00022c,"(13Z,16Z)-docosadienoylcarnitine",protonation,C29H52NO4,-1,C29H53NO4,0,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
MAM00022m,"(13Z,16Z)-docosadienoylcarnitine",protonation,C29H52NO4,-1,C29H53NO4,0,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
MAM00022r,"(13Z,16Z)-docosadienoylcarnitine",protonation,C29H52NO4,-1,C29H53NO4,0,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
MAM00027x,(18E)-20-oxo-20-CoA-LTE4,protonation,C44H62N8O22P3S2,-5,C44H63N8O22P3S2-4,-4,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)/C=C/CC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)O)[C@@H](O)CCCC(=O)O
MAM00031c,"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",protonation,C20H23N3O7S,-2,C20H25N3O7S,0,N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1C=Cc2ccccc2[C@H]1O)C(=O)NCC(=O)O)C(=O)O
MAM00033c,"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",protonation,C20H23N3O7S,-2,C20H25N3O7S,0,N[C@@H](CCC(=O)N[C@@H](CS[C@H]1C=Cc2ccccc2[C@@H]1O)C(=O)NCC(=O)O)C(=O)O
MAM00075x,(2R)-pristanoyl-CoA,formula_error,C40H68N7O17P3S,-4,C4H8O3,0,CC(O)CC(=O)O
MAM00127c,(9E)-octadecenoyl-CoA,formula_error,C39H64N7O17P3S,-4,C18H34O2,0,CCCCCCCC/C=C/CCCCCCCC(=O)O
MAM00127m,(9E)-octadecenoyl-CoA,formula_error,C39H64N7O17P3S,-4,C18H34O2,0,CCCCCCCC/C=C/CCCCCCCC(=O)O
MAM00127r,(9E)-octadecenoyl-CoA,formula_error,C39H64N7O17P3S,-4,C18H34O2,0,CCCCCCCC/C=C/CCCCCCCC(=O)O
MAM00229c,"1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal",protonation,C17H15O8,-1,C17H16O8,0,COc1cc(O)c(C(CO)C(O)C=O)c2oc(=O)c3c(c12)CCC3=O
MAM00265c,"10,13,16-docosatriynoic acid",protonation,C22H37O2,-1,C22H32O2,0,CCCCCC#CCC#CCC#CCCCCCCCCC(=O)O
MAM00265l,"10,13,16-docosatriynoic acid",protonation,C22H37O2,-1,C22H32O2,0,CCCCCC#CCC#CCC#CCCCCCCCCC(=O)O
MAM00265r,"10,13,16-docosatriynoic acid",protonation,C22H37O2,-1,C22H32O2,0,CCCCCC#CCC#CCC#CCCCCCCCCC(=O)O
MAM00265e,"10,13,16-docosatriynoic acid",protonation,C22H37O2,-1,C22H32O2,0,CCCCCC#CCC#CCC#CCCCCCCCCC(=O)O
MAM00266c,10-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM00266l,10-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM00266m,10-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM00266e,10-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM00275c,10-peroxy-docosahexaenoate,protonation,C22H30O4,-1,C22H31O4-,-1,CC/C=C/C/C=C/CC/C=C/C=C(/C/C=C/C/C=C/CCC(=O)[O-])OO
MAM00281c,"11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-(5Z,9E)-eicosadienoate",formula_error,C20H31O6,-1,C41H64N7O20P3S-4,-4,CCCCC/C=C\CC(O)CC/C=C/C=C\[C@@H](O)CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
MAM00303c,11-peroxy-docosahexaenoate,formula_error,C22H30O4,-1,C36H60O2,0,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C
MAM00311c,"12,13-epoxy-9-alkoxy-(10E)-octadecenoate",formula_error,C18H30O4,-1,C5H4BrN,0,Brc1ccccn1
MAM00335c,"12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate",protonation,C20H30O4,-1,C20H31O4-,-1,CCCCC/C=C\CC(C=C/C=C\C/C=C\CCCC(=O)[O-])OO
MAM00348c,13-cis-oxo-retinoate,protonation,C20H27O3,-1,C20H25O3-,-1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)[O-])C(C)(C)CCC1=O
MAM00376c,15(S)-HEPE,protonation,C20H29O3,0,C20H30O3,0,CC/C=C\C[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O
MAM00378c,15(S)-HETrE,protonation,C20H33O3,0,C20H34O3,0,CCCCCC(O)C=CC=CCC=CCCCCCCC(=O)O
MAM00384c,15-deoxy-PGD2,protonation,C20H29O4,0,C20H30O4,0,CCCCC/C=C/C=C1/C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O
MAM00397x,16(S)-hydroxy-18-oxo-18-CoA-LTE4,protonation,C42H62N8O23P3S2,-5,C42H63N8O23P3S2-4,-4,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)CCC/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)O)[C@@H](O)CCCC(=O)O
