mets,name,issue,model_formula,model_charge,smiles_formula,smiles_charge,metSmiles
MAM00398x,"16,18-oxo-18-CoA-dinor-LTE4",protonation,C42H60N8O23P3S2,-5,C42H61N8O23P3S2-4,-4,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)O)[C@@H](O)CCCC(=O)O
MAM00401x,16e-18-oxo-18-CoA-dinor-LTE4,protonation,C42H60N8O22P3S2,-5,C42H61N8O22P3S2-4,-4,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)/C=C/CCC/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)O)[C@@H](O)CCCC(=O)O
MAM00404c,16-peroxy-docosahexaenoate,protonation,C22H30O4,-1,C22H31O4-,-1,CC/C=C/C=C/C(C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)[O-])OO
MAM00418c,17-peroxy-docosahexaenoate,protonation,C22H30O4,-1,C22H31O4-,-1,CC/C=C/CC(/C=C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)[O-])OO
MAM00521c,"1D-myo-inositol-1,3,4,5,6-pentakisphosphate",protonation,C6H7O21P5,-10,C6H17O21P5,0,O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O
MAM00521n,"1D-myo-inositol-1,3,4,5,6-pentakisphosphate",protonation,C6H7O21P5,-10,C6H17O21P5,0,O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O
MAM00531c,1D-myo-inositol-bisdiphosphate-tetrakisphosphate,formula_error,C6H6O30P8,-14,C14H17N3,0,Cc1ccc2c(c1C)[C@@H](c1ccn[nH]1)NCC2
MAM00531n,1D-myo-inositol-bisdiphosphate-tetrakisphosphate,formula_error,C6H6O30P8,-14,C14H17N3,0,Cc1ccc2c(c1C)[C@@H](c1ccn[nH]1)NCC2
MAM00545c,1-nitronaphthalene,protonation,C10H6NO2,-1,C10H7NO2,0,O=[N+]([O-])c1cccc2ccccc12
MAM00545e,1-nitronaphthalene,protonation,C10H6NO2,-1,C10H7NO2,0,O=[N+]([O-])c1cccc2ccccc12
MAM00557c,1-pyrroline,protonation,C4H8N,1,C4H7N,0,C1=NCCC1
MAM00557m,1-pyrroline,protonation,C4H8N,1,C4H7N,0,C1=NCCC1
MAM00566c,2-(S-glutathionyl)acetyl glutathione,protonation,C22H32N6O13S2,-2,C22H34N6O13S2,0,N[C@@H](CCC(=O)N[C@@H](CSCC(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
MAM00578m,"2,6-dimethyl-trans-2-heptenoyl-CoA",formula_error,C30H46N7O17P3S,-4,C7H10O5,0,COC(=O)CC(=O)CC(=O)OC
MAM00584x,20-COOH-18-oxo-LTE4-CoA,protonation,C44H62N8O23P3S2,-5,C44H63N8O23P3S2-4,-4,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)O)[C@@H](O)CCCC(=O)O
MAM00676c,2-S-glutathionyl acetate,protonation,C12H18N3O8S,-1,C12H19N3O8S,0,N[C@@H](CCC(=O)N[C@@H](CSCC(=O)O)C(=O)NCC(=O)O)C(=O)O
MAM00702c,3(S)-hydroxy-13-cis-eicosenoyl-CoA,formula_error,C41H68N7O18P3S,-4,C20H27O3-,-1,CC(C=CC12OC1(C)CCCC2(C)C)=CC=CC(C)=CC(=O)[O-]
MAM00702m,3(S)-hydroxy-13-cis-eicosenoyl-CoA,formula_error,C41H68N7O18P3S,-4,C20H27O3-,-1,CC(C=CC12OC1(C)CCCC2(C)C)=CC=CC(C)=CC(=O)[O-]
MAM00702x,3(S)-hydroxy-13-cis-eicosenoyl-CoA,formula_error,C41H68N7O18P3S,-4,C20H27O3-,-1,CC(C=CC12OC1(C)CCCC2(C)C)=CC=CC(C)=CC(=O)[O-]
MAM00735c,"3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine",formula_error,C11H14N2O4S,0,C8H7NS,0,C1=CSc2ccccc2N1
MAM00742c,"3,7,24THCA",formula_error,C27H45O5,-1,C28H47O5-,-1,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1(C(=O)[O-])C[C@H]3O
MAM00742m,"3,7,24THCA",formula_error,C27H45O5,-1,C28H47O5-,-1,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1(C(=O)[O-])C[C@H]3O
MAM00786c,3-hydroxykynurenamine,protonation,C9H13N2O2,1,C9H12N2O2,0,NCCC(=O)c1cccc(O)c1N
MAM00860c,"3-oxodocasa-cis,cis-13,16-dienoyl-CoA",protonation,C43H68N7O18P3S,-4,C43H74N7O18P3S-4,-4,CCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
MAM00879c,3-oxo-hexacosenoyl-CoA,protonation,C47H78N7O18P3S,-4,C47H84N7O18P3S,0,CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
MAM00879x,3-oxo-hexacosenoyl-CoA,protonation,C47H78N7O18P3S,-4,C47H84N7O18P3S,0,CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
MAM00894m,3-oxopalmitoleoyl-CoA,protonation,C37H58N7O18P3S,-4,C37H64N7O18P3S,0,CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
MAM00894x,3-oxopalmitoleoyl-CoA,protonation,C37H58N7O18P3S,-4,C37H64N7O18P3S,0,CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
MAM00912c,3-phosphoadenylylselenate,protonation,C10H11N5O13P2Se,-4,C10H15N5O13P2Se,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O[Se](=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O
MAM00934m,"4(R),8-dimethyl-trans-2-nonenoyl-CoA",formula_error,C32H50N7O17P3S,-4,C7H10O5,0,COC(=O)CC(=O)CC(=O)OC
MAM01026c,4-oxo-13-cis-retinoate,protonation,C20H27O3,-1,C20H26O3,0,CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O
MAM01026r,4-oxo-13-cis-retinoate,protonation,C20H27O3,-1,C20H26O3,0,CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O
MAM01044c,"5,10-methenyl-THF",protonation,C20H20N7O6,-1,C20H22N7O6+,1,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
MAM01044m,"5,10-methenyl-THF",protonation,C20H20N7O6,-1,C20H22N7O6+,1,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
MAM01045c,"5,10-methylene-THF",protonation,C20H21N7O6,-2,C20H23N7O6,0,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
MAM01045m,"5,10-methylene-THF",protonation,C20H21N7O6,-2,C20H23N7O6,0,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
MAM01061c,"5,9,11-trihydroxyprosta-(6E,14Z)-dien-1-oate",formula_error,C20H33O5,-1,C30H37NO8,0,CNc1ccccc1C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
MAM01099c,5-formiminotetrahydrofolate,protonation,C20H22N8O6,-2,C20H24N8O6,0,N=CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
MAM01100c,5-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM01100m,5-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM01100e,5-formyl-THF,protonation,C20H21N7O7,-2,C20H23N7O7,0,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
MAM01105c,5-hydroxykynurenamine,protonation,C9H13N2O2,1,C9H12N2O2,0,NCCC(=O)c1cc(O)ccc1N
MAM01115c,5-methyl-THF,protonation,C20H24N7O6,-1,C20H25N7O6,0,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
MAM01115e,5-methyl-THF,protonation,C20H24N7O6,-1,C20H25N7O6,0,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
MAM01133c,5-pp-inspP5,protonation,C6H6O27P7,-13,C6H19O27P7,0,O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@@H]1OP(=O)(O)O
MAM01133n,5-pp-inspP5,protonation,C6H6O27P7,-13,C6H19O27P7,0,O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@@H]1OP(=O)(O)O
MAM01163c,6-hydroxypaclitaxel,protonation,C47H31NO15,0,C47H51NO15,0,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)[C@H](O)[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
MAM01163e,6-hydroxypaclitaxel,protonation,C47H31NO15,0,C47H51NO15,0,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)[C@H](O)[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
MAM01172c,6-trans-LTB4,protonation,C20H31O4,0,C20H32O4,0,CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C/[C@@H](O)CCCC(=O)O
MAM01172m,6-trans-LTB4,protonation,C20H31O4,0,C20H32O4,0,CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C/[C@@H](O)CCCC(=O)O
MAM01172x,6-trans-LTB4,protonation,C20H31O4,0,C20H32O4,0,CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C/[C@@H](O)CCCC(=O)O
MAM01198c,7-peroxy-docosahexaenoate,protonation,C22H30O4,-1,C22H31O4-,-1,CC/C=C/C/C=C/CC/C=C/C=C/C/C=C(/C/C=C/CCC(=O)[O-])OO
MAM01210c,"8,9-epoxy-(5Z)-tetradecenoic acid",protonation,C14H24O3,-1,C14H24O3,0,CCCCCC1OC1C/C=C\CCCC(=O)O
MAM01214c,"8-peroxy-(5Z,9E,11Z,14Z)-eicosatetraenoate",protonation,C20H30O4,-1,C20H31O4-,-1,CCCCC/C=C\C/C=C\C=C\C(C/C=C\CCCC(=O)[O-])OO
MAM01215c,8-peroxy-docosahexaenoate,protonation,C22H30O4,-1,C22H31O4-,-1,CC/C=C/C/C=C/CC/C=C/C=C/C/C(=C/C/C=C/CCC(=O)[O-])OO
MAM01293c,adrenochrome-O-semiquinone,protonation,C9H9NO3,-1,C9H11NO3,0,CN1CC(O)c2cc(O)c(O)cc21
MAM01294c,aflatoxin B1 dialdehyde,protonation,C17H13O8,-1,C17H14O8,0,COc1cc(O)c([C@@H](C=O)[C@@H](O)C=O)c2oc(=O)c3c(c12)CCC3=O
MAM01315c,alloxan,formula_error,C4N2O4,-2,C5H4N4O2,0,Oc1nc(O)c2cn[nH]c2n1
MAM01315e,alloxan,formula_error,C4N2O4,-2,C5H4N4O2,0,Oc1nc(O)c2cn[nH]c2n1
MAM01318c,"alpha-(1,2-dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde",protonation,C17H15O8,-1,C17H16O8,0,COc1cc(O)c(C(C=O)C(O)CO)c2oc(=O)c3c(c12)CCC3=O
MAM01323c,alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,formula_error,C128H210N2O27P2,-2,C53H92N2O27P2,0,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)(O)OP(=O)(O)OCCC(C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O
MAM01348c,apelin-13,protonation,C69H114N23O16S,3,C69H111N23O16S,0,CSCC[C@@H](NC(=O)[C@H]1CCCN1C(=O)CNC(=O)[C@@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O
MAM01367c,arsenite,protonation,AsH2O3,-1,AsO3-3,-3,[O-][As]([O-])[O-]
MAM01368c,ascorbate,protonation,C6H7O6,-1,C6H8O6,0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
MAM01368e,ascorbate,protonation,C6H7O6,-1,C6H8O6,0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
MAM01381c,benzothiazine,formula_error,C11H12N2O3S,0,C8H7NS,0,C1=Nc2ccccc2SC1
MAM01390c,beta-D-mannosyldiacetylchitobiosyldiphosphodolichol,formula_error,C122H200N2O22P2,-2,C47H82N2O22P2,0,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)(O)OP(=O)(O)OCCC(C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O
MAM01402c,biotinyl-5-AMP,protonation,C20H27N7O9PS,-1,C20H28N7O9PS,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)[C@@H](O)[C@H]1O
MAM01438c,chitin-component,formula_error,C8H13NO5,0,C8H15NO6,0,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
MAM01438e,chitin-component,formula_error,C8H13NO5,0,C8H15NO6,0,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
MAM01442c,chloride,protonation,Cl,-1,Cl,0,[Cl]
MAM01442e,chloride,protonation,Cl,-1,Cl,0,[Cl]
MAM01511c,cholesterol-STAR,formula_error,C1420H2313N409O415S17,0,C27H46O,0,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
MAM01511m,cholesterol-STAR,formula_error,C1420H2313N409O415S17,0,C27H46O,0,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
MAM01591c,CMP-2-aminoethylphosphonate,protonation,C11H19N4O10P2,-1,C11H20N4O10P2,0,NCCP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
MAM01592c,CMP-N-acetylneuraminate,protonation,C20H29N4O16P,-2,C20H31N4O16P,0,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
MAM01592g,CMP-N-acetylneuraminate,protonation,C20H29N4O16P,-2,C20H31N4O16P,0,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
MAM01592n,CMP-N-acetylneuraminate,protonation,C20H29N4O16P,-2,C20H31N4O16P,0,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
MAM01593c,CMP-neuNGc,protonation,C20H29N4O17P,-2,C20H31N4O17P,0,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O)CO)O3)[C@@H](O)[C@H]2O)c(=O)n1
MAM01597c,CoA,protonation,C21H32N7O16P3S,-4,C21H36N7O16P3S,0,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
MAM01597g,CoA,protonation,C21H32N7O16P3S,-4,C21H36N7O16P3S,0,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
MAM01597l,CoA,protonation,C21H32N7O16P3S,-4,C21H36N7O16P3S,0,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
