gene,symbol,hop,any_verdict,any_count,viability_verdict,viability_count,hart_verdict,DLD1_before_tasks,DLD1_after_tasks,DLD1_before_growth,DLD1_after_growth,GBM_before_tasks,GBM_after_tasks,GBM_before_growth,GBM_after_growth,HCT116_before_tasks,HCT116_after_tasks,HCT116_before_growth,HCT116_after_growth,HELA_before_tasks,HELA_after_tasks,HELA_before_growth,HELA_after_growth,RPE1_before_tasks,RPE1_after_tasks,RPE1_before_growth,RPE1_after_growth
ENSG00000067840,PDZD4,direct,stable,,stable,,n/a,.,.,,,,,1.000000,1.000000,.,.,,,.,.,,,.,.,,
ENSG00000067842,ATP2B3,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000067992,PDK3,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,.,.,,
ENSG00000068001,HYAL2,direct,stable,,stable,,n/a,.,,,1.000000,.,,,1.000000,,,1.000000,1.000000,.,,,1.000000,.,,,1.000000
ENSG00000068120,COASY,direct,stable,,stable,,n/a,BS|GR,BS|GR,0.000000,0.000000,BS|GR,BS|GR,0.000000,0.000000,BS|GR,BS|GR,0.000000,-0.000000,BS|GR,BS|GR,0.000000,0.000000,BS|GR,BS|GR,0.000000,0.000000
ENSG00000068308,OTUD5,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000068366,ACSL4,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000068383,INPP5A,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000068650,ATP11A,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000068654,POLR1A,direct,stable,,stable,,n/a,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000
ENSG00000068745,IP6K2,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000068903,SIRT2,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000068976,PYGM,direct,stable,,stable,,n/a,,,1.000000,1.000000,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000069248,NUP133,direct,stable,,stable,,n/a,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000
ENSG00000069431,ABCC9,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000069535,MAOB,direct,stable,,stable,,n/a,,,1.000000,1.000000,.,.,,,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000069764,PLA2G10,direct,stable,,stable,,n/a,,,1.000000,1.000000,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000069849,ATP1B3,direct,stable,,stable,,n/a,.,.,,,,,1.000000,1.000000,.,.,,,.,.,,,.,.,,
ENSG00000069869,NEDD4,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000069943,PIGB,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070019,GUCY2C,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000070214,SLC44A1,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070423,RNF126,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000070501,POLB,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070526,ST6GALNAC1,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,.,,,1.000000,,,1.000000,1.000000
ENSG00000070610,GBA2,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070614,NDST1,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070669,ASNS,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070731,ST6GALNAC2,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000070748,CHAT,direct,stable,,stable,,n/a,.,.,,,.,.,,,,.,1.000000,,,.,1.000000,,,.,1.000000,
ENSG00000070915,SLC12A3,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,,,1.000000,1.000000,.,.,,
ENSG00000070950,RAD18,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
