metabolite,name,missing_formula,missing_charge
MAM10001e,steroids,yes,
MAM10002e,xenobiotics,yes,
MAM10003e,arachidonate derivatives,yes,
MAM10012c,cofactor_pool_biomass,yes,
MAM10013c,protein_pool_biomass,yes,
MAM10014c,lipid_pool_biomass,yes,
MAM10015c,metabolite_pool_biomass,yes,
