group,reaction,equation
1,MAR01636,2 MAM02519e + MAM02680e --> 2 MAM02519c + MAM02680c
1,MAR09607,2 MAM02519e + MAM02680e --> 2 MAM02519c + MAM02680c
2,MAR00094,MAM01401e + 2 MAM02519e --> MAM01401c + 2 MAM02519c
2,MAR09609,MAM01401e + 2 MAM02519e --> MAM01401c + 2 MAM02519c
