# Date: 2019-12-19
rxns	eqnOrig	eqnNew	lbOrig	lbNew	ubOrig	ubNew	grRuleOrig	grRuleNew	notes
HMR_10066	(ADDED)	20alpha-hydroxy-4-pregnen-3-one[c] + NAD+[c] => H+[c] + NADH[c] + progesterone[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000187134	
HMR_10067	(ADDED)	1D-myo-inositol-1,3,4,5,6-pentakisphosphate[c] + H2O[c] => 1D-myo-inositol-1,4,5,6-tetrakisphosphate[c] + Pi[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000151151	
HMR_10068	(ADDED)	1D-myo-inositol-1,4,5,6-tetrakisphosphate[c] + H2O[c] => D-myo-inositol-1,4,5-trisphosphate[c] + Pi[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10069	(ADDED)	deoxycholoyl-CoA[c] + glycine[c] => CoA[c] + glycodeoxycholate[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10070	(ADDED)	oxidized dithiothreitol[c] + 3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone[c] => dithiothreitol[c] + 2,3-epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10071	(ADDED)	NADP+[c] + 5alpha-Pregnan-20alpha-ol-3-one[c] => 5alpha-pregnane-3,20-dione[c] + H+[c] + NADPH[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000196139	
HMR_10072	(ADDED)	NADP+[c] + 17alpha,20alpha-Dihydroxypregn-4-en-3-one[c] => 17alpha-hydroxyprogesterone[c] + H+[c] + NADPH[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000196139	
HMR_10073	(ADDED)	ATP[c] + H2O[c] + alpha-muricholic acid[c] => ADP[c] + H+[c] + Pi[c] + alpha-muricholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10074	(ADDED)	alpha-muricholic acid[s] <=> alpha-muricholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10075	(ADDED)	ATP[c] + H2O[c] + beta-muricholic acid[c] => ADP[c] + H+[c] + Pi[c] + beta-muricholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10076	(ADDED)	beta-muricholic acid[s] <=> beta-muricholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10077	(ADDED)	dehydrocholic acid[s] <=> dehydrocholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10078	(ADDED)	tauro-alpha-muricholic acid[s] <=> tauro-alpha-muricholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10079	(ADDED)	ATP[c] + H2O[c] + tauro-alpha-muricholic acid[c] => ADP[c] + H+[c] + Pi[c] + tauro-alpha-muricholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10080	(ADDED)	ATP[c] + CoA[c] + alpha-muricholic acid[c] => AMP[c] + PPi[c] + alpha-muricholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10081	(ADDED)	omega-muricholic acid[s] <=> omega-muricholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10082	(ADDED)	ATP[c] + H2O[c] + omega-muricholic acid[c] => ADP[c] + H+[c] + Pi[c] + omega-muricholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10083	(ADDED)	taurohyocholic acid[s] <=> taurohyocholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10084	(ADDED)	glycohyocholic acid[s] <=> glycohyocholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10085	(ADDED)	glycohyodeoxycholic acid[s] <=> glycohyodeoxycholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10086	(ADDED)	glycodehydrocholic acid[s] <=> glycodehydrocholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10087	(ADDED)	hyocholic acid[s] <=> hyocholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10088	(ADDED)	tauro-omega-muricholic acid[s] <=> tauro-omega-muricholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10089	(ADDED)	tauro-beta-muricholic acid[s] <=> tauro-beta-muricholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10090	(ADDED)	murideoxycholic acid[s] <=> murideoxycholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10091	(ADDED)	taurodehydrocholic acid[s] <=> taurodehydrocholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
HMR_10092	(ADDED)	H2O[c] + alpha-muricholoyl-CoA[c] => CoA[c] + H+[c] + alpha-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10093	(ADDED)	taurine[c] + alpha-muricholoyl-CoA[c] => CoA[c] + H+[c] + tauro-alpha-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10094	(ADDED)	ATP[c] + CoA[c] + beta-muricholic acid[c] => AMP[c] + PPi[c] + beta-muricholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10095	(ADDED)	H2O[c] + beta-muricholoyl-CoA[c] => CoA[c] + H+[c] + beta-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10096	(ADDED)	taurine[c] + beta-muricholoyl-CoA[c] => CoA[c] + H+[c] + tauro-beta-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10097	(ADDED)	ATP[c] + CoA[c] + omega-muricholic acid[c] => AMP[c] + PPi[c] + omega-muricholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10098	(ADDED)	H2O[c] + omega-muricholoyl-CoA[c] => CoA[c] + H+[c] + omega-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10099	(ADDED)	taurine[c] + omega-muricholoyl-CoA[c] => CoA[c] + H+[c] + tauro-omega-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10100	(ADDED)	ATP[c] + H2O[c] + taurodehydrocholic acid[c] => ADP[c] + H+[c] + Pi[c] + taurodehydrocholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10101	(ADDED)	ATP[c] + H2O[c] + taurohyocholic acid[c] => ADP[c] + H+[c] + Pi[c] + taurohyocholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10102	(ADDED)	ATP[c] + H2O[c] + glycohyocholic acid[c] => ADP[c] + H+[c] + Pi[c] + glycohyocholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10103	(ADDED)	ATP[c] + H2O[c] + hyocholic acid[c] => ADP[c] + H+[c] + Pi[c] + hyocholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10104	(ADDED)	ATP[c] + H2O[c] + murideoxycholic acid[c] => ADP[c] + H+[c] + Pi[c] + murideoxycholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10105	(ADDED)	ATP[c] + CoA[c] + hyocholic acid[c] => AMP[c] + PPi[c] + hyocholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10106	(ADDED)	H2O[c] + hyocholoyl-CoA[c] => CoA[c] + H+[c] + hyocholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10107	(ADDED)	taurine[c] + hyocholoyl-CoA[c] => CoA[c] + H+[c] + taurohyocholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10108	(ADDED)	glycine[c] + hyocholoyl-CoA[c] => CoA[c] + H+[c] + glycohyocholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10109	(ADDED)	ATP[c] + H2O[c] + glycodehydrocholic acid[c] => ADP[c] + H+[c] + Pi[c] + glycodehydrocholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10110	(ADDED)	ATP[c] + H2O[c] + dehydrocholic acid[c] => ADP[c] + H+[c] + Pi[c] + dehydrocholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10111	(ADDED)	ATP[c] + CoA[c] + dehydrocholic acid[c] => AMP[c] + PPi[c] + dehydrocholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10112	(ADDED)	H2O[c] + dehydrocholoyl-CoA[c] => CoA[c] + H+[c] + dehydrocholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10113	(ADDED)	taurine[c] + dehydrocholoyl-CoA[c] => CoA[c] + H+[c] + taurodehydrocholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10114	(ADDED)	glycine[c] + dehydrocholoyl-CoA[c] => CoA[c] + H+[c] + glycodehydrocholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10115	(ADDED)	ATP[c] + H2O[c] + tauro-beta-muricholic acid[c] => ADP[c] + H+[c] + Pi[c] + tauro-beta-muricholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10116	(ADDED)	H+[c] + 5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate[c] => allantoin[c] + CO2[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000183463	
HMR_10117	(ADDED)	ATP[c] + H2O[c] + tauro-omega-muricholic acid[c] => ADP[c] + H+[c] + Pi[c] + tauro-omega-muricholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10118	(ADDED)	2 Na+[s] + omega-muricholic acid[s] => 2 Na+[c] + omega-muricholic acid[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000100652	
HMR_10119	(ADDED)	2 Na+[s] + hyocholic acid[s] => 2 Na+[c] + hyocholic acid[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000100652	
HMR_10120	(ADDED)	2 Na+[s] + dehydrocholic acid[s] => 2 Na+[c] + dehydrocholic acid[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000100652	
HMR_10121	(ADDED)	ATP[c] + CoA[c] + hyodeoxycholate[c] => AMP[c] + H+[c] + PPi[c] + hyodeoxycholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10122	(ADDED)	H2O[c] + hyodeoxycholoyl-CoA[c] => CoA[c] + hyodeoxycholate[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10123	(ADDED)	taurine[c] + hyodeoxycholoyl-CoA[c] => CoA[c] + H+[c] + tauro-hyodeoxycholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10124	(ADDED)	glycine[c] + hyodeoxycholoyl-CoA[c] => CoA[c] + H+[c] + glycohyodeoxycholic acid[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10125	(ADDED)	ATP[c] + H2O[c] + tauro-hyodeoxycholic acid[c] => ADP[c] + H+[c] + Pi[c] + tauro-hyodeoxycholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10126	(ADDED)	ATP[c] + H2O[c] + glycohyodeoxycholic acid[c] => ADP[c] + H+[c] + Pi[c] + glycohyodeoxycholic acid[s]	0.000000	0.000000	0.000000	1000.000000		ENSG00000073734 or ENSG00000108846	
HMR_10127	(ADDED)	2 Na+[s] + tauro-hyodeoxycholic acid[s] => 2 Na+[c] + tauro-hyodeoxycholic acid[c]	0.000000	0.000000	0.000000	1000.000000		ENSG00000100652	
HMR_10128	(ADDED)	ATP[c] + CoA[c] + ursodeoxycholate[c] => AMP[c] + PPi[c] + ursodeoxycholoyl-CoA[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10129	(ADDED)	H2O[c] + ursodeoxycholoyl-CoA[c] => CoA[c] + H+[c] + ursodeoxycholate[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10130	(ADDED)	taurine[c] + ursodeoxycholoyl-CoA[c] => CoA[c] + tauroursodeoxycholate[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10131	(ADDED)	glycine[c] + ursodeoxycholoyl-CoA[c] => CoA[c] + glycoursodeoxycholate[c]	0.000000	0.000000	0.000000	1000.000000			
HMR_10132	(ADDED)	tauro-hyodeoxycholic acid[s] <=> tauro-hyodeoxycholic acid[x]	0.000000	-1000.000000	0.000000	1000.000000			
