# Date: 2018-10-19
metID	incorrectFormula	correctedFormula
m00038c	C10H17ORS	C10H17OSR
m00041c	C12H21ORS	C12H21OSR
m00045c	C17H31ORS	C17H31OSR
m00047c	C7H11ORS	C7H11OSR
m00050c	C16H29ORS	C16H29OSR
m00052c	C6H9ORS	C6H9OSR
m00055c	C9H15ORS	C9H15OSR
m00058c	C8H13ORS	C8H13OSR
m00060c	C15H27ORS	C15H27OSR
m00062c	C5H7ORS	C5H7OSR
m00068c	C13H23ORS	C13H23OSR
m00070c	C11H19ORS	C11H19OSR
m00158c	C4H7O2RS	C4H7O2SR
m00160c	C10H19O2RS	C10H19O2SR
m00161c	C8H15O2RS	C8H15O2SR
m00162c	C16H31O2RS	C16H31O2SR
m00185c	HX	XH
m00198c	HX	XH
m00198l	HX	XH
m00198r	HX	XH
m00204c	HX	XH
m00204n	HX	XH
m00204s	HX	XH
m00205c	HX	XH
m00205g	HX	XH
m00205l	HX	XH
m00205r	HX	XH
m00208c	C8H16NORS2	C8H16NOS2R
m00209c	C8H14NORS2	C8H14NOS2R
m00216c	C5H8N2O2R2S	C5H8N2O2SR2
m00217c	C10H10N2O6R2S	C10H10N2O6SR2
m00227c	C2Cl2H2O	C2H2Cl2O
m00228c	C2Cl2H2	C2H2Cl2
m00228s	C2Cl2H2	C2H2Cl2
m00240c	CCC3FFH6LLLLOO2O2RR2UU	C3H6ORCO2R2CO2
m00240g	CCC3FFH6LLLLOO2O2RR2UU	C3H6ORCO2R2CO2
m00240n	CCC3FFH6LLLLOO2O2RR2UU	C3H6ORCO2R2CO2
m00242c	Br2C2H4	C2H4Br2
m00242s	Br2C2H4	C2H4Br2
m00490c	CC3FH7LLO2O2R2U	C3H7O2R2CO2
m00514c	CC5FFH10LLLLO2O2RR2UU	C5H10O2RR2CO2
m00515c	CC7FFH16LLLLNOO5PRR2UU	C7H16O5NPRR2CO
m00516c	C10FH21LLNO5PRU	C10H21O5NPR
m00516s	C10FH21LLNO5PRU	C10H21O5NPR
m00517c	C2C3FH4H4LLO6PRU	C3H4O6PRC2H4
m00517p	C2C3FH4H4LLO6PRU	C3H4O6PRC2H4
m00549c	C10FH21LLNO5PRU	C10H21O5NPR
m00549s	C10FH21LLNO5PRU	C10H21O5NPR
m00551c	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m00551n	CCC9FFH14LLLLO15O2O2P3RR2UU	C9H14O15P3RCO2R2CO2
m00552c	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
m00552n	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
m00552r	CCC9FFH15LLLLO12O2O2P2RR2UU	C9H15O12P2RCO2R2CO2
