rxn	grRule_original	grRule_curated
HMR_6977	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333	(ENSG00000181090 and ENSG00000238134) or (ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333
HMR_8025	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000204371 or ENSG00000227333 or ENSG00000272333	(ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000204371 or ENSG00000227333 or ENSG00000272333
HMR_8026	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000204371 or ENSG00000227333 or ENSG00000272333	(ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000204371 or ENSG00000227333 or ENSG00000272333
HMR_8027	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000204371 or ENSG00000227333 or ENSG00000272333	(ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000204371 or ENSG00000227333 or ENSG00000272333
HMR_6710	ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100462 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126457 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206376 or ENSG00000206562 or ENSG00000214756 or ENSG00000227333 or ENSG00000236759 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619	(ENSG00000100462 and ENSG00000126457) or ENSG00000100462 or ENSG00000105202 or ENSG00000126457 or ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100462 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206376 or ENSG00000206562 or ENSG00000214756 or ENSG00000227333 or ENSG00000236759 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619
HMR_6737	ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100462 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126457 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206376 or ENSG00000206562 or ENSG00000214756 or ENSG00000227333 or ENSG00000236759 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619	(ENSG00000100462 and ENSG00000126457) or ENSG00000100462 or ENSG00000105202 or ENSG00000126457 or ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100462 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206376 or ENSG00000206562 or ENSG00000214756 or ENSG00000227333 or ENSG00000236759 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619
HMR_4072	ENSG00000088305 or ENSG00000107614 or ENSG00000119772 or ENSG00000130816 or ENSG00000142182	(ENSG00000088305 and ENSG00000130816) or ENSG00000088305 or ENSG00000107614 or ENSG00000119772 or ENSG00000130816 or ENSG00000142182
HMR_8641	ENSG00000088305 or ENSG00000107614 or ENSG00000119772 or ENSG00000130816 or ENSG00000142182	(ENSG00000088305 and ENSG00000130816) or ENSG00000088305 or ENSG00000107614 or ENSG00000119772 or ENSG00000130816 or ENSG00000142182
HMR_8640	ENSG00000088305 or ENSG00000107614 or ENSG00000119772 or ENSG00000130816 or ENSG00000142182	(ENSG00000088305 and ENSG00000130816) or ENSG00000088305 or ENSG00000107614 or ENSG00000119772 or ENSG00000130816 or ENSG00000142182
HMR_7285	ENSG00000104723 or ENSG00000118705 or ENSG00000129562 or ENSG00000134910 or ENSG00000163527 or ENSG00000163902 or ENSG00000244038	(ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038) or (ENSG00000104723 and ENSG00000118705 and ENSG00000129562 and ENSG00000163527 and ENSG00000163902 and ENSG00000244038)  
HMR_7576	ENSG00000064601 or ENSG00000115488 or ENSG00000162139 or ENSG00000170266 or ENSG00000204099 or ENSG00000204386 or ENSG00000234846	ENSG00000064601 or ENSG00000170266 or ENSG00000115488 or ENSG00000162139 or ENSG00000204099 or ENSG00000204386 or ENSG00000234846
