rxn	grRule_original	grRule_curated
HMR_4000	ENSG00000061918 or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000152402 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164116 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233	(ENSG00000061918 and ENSG00000164116) or ENSG00000061918 or ENSG00000152402 or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233
HMR_4022	ENSG00000061918 or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000152402 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164116 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233	(ENSG00000061918 and ENSG00000164116) or ENSG00000061918 or ENSG00000152402 or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233
HMR_4136	ENSG00000054179 or ENSG00000079805 or ENSG00000087470 or ENSG00000101210 or ENSG00000106976 or ENSG00000138185 or ENSG00000140598 or ENSG00000156508 or ENSG00000164347 or ENSG00000167658 or ENSG00000168032 or ENSG00000168827 or ENSG00000171302 or ENSG00000178952 or ENSG00000187097 or ENSG00000188833 or ENSG00000197217 or ENSG00000197586 or ENSG00000197959	ENSG00000156508 or ENSG00000167658 or ENSG00000178952 or ENSG00000054179 or ENSG00000079805 or ENSG00000087470 or ENSG00000101210 or ENSG00000106976 or ENSG00000138185 or ENSG00000140598 or ENSG00000164347 or ENSG00000168032 or ENSG00000168827 or ENSG00000171302 or ENSG00000187097 or ENSG00000188833 or ENSG00000197217 or ENSG00000197586 or ENSG00000197959
HMR_7160	ENSG00000009413 or ENSG00000014138 or ENSG00000051341 or ENSG00000062822 or ENSG00000070501 or ENSG00000077514 or ENSG00000100479 or ENSG00000101751 or ENSG00000101868 or ENSG00000106628 or ENSG00000111445 or ENSG00000112941 or ENSG00000115350 or ENSG00000122008 or ENSG00000122678 or ENSG00000130997 or ENSG00000132382 or ENSG00000140521 or ENSG00000148229 or ENSG00000166169 or ENSG00000170734 or ENSG00000175482 or ENSG00000177084 or ENSG00000256525	(ENSG00000115350 and ENSG00000148229) or ENSG00000111445 or ENSG00000170734 or ENSG00000062822 or ENSG00000101868 or ENSG00000177084 or (ENSG00000062822 and ENSG00000077514 and ENSG00000106628 and ENSG00000175482) or (ENSG00000014138 and ENSG00000101868) or ENSG00000014138 or ENSG00000101868 or ENSG00000111445 or (ENSG00000014138 and ENSG00000062822 and ENSG00000077514 and ENSG00000100479 and ENSG00000101868 and ENSG00000106628 and ENSG00000115350 and ENSG00000148229 and ENSG00000175482 and ENSG00000177084) or ENSG00000009413 or ENSG00000051341 or ENSG00000070501 or ENSG00000101751 or ENSG00000111445 or ENSG00000112941 or ENSG00000122008 or ENSG00000122678 or ENSG00000130997 or ENSG00000132382 or ENSG00000140521 or ENSG00000148229 or ENSG00000166169 or ENSG00000256525  
HMR_7161	ENSG00000005075 or ENSG00000013503 or ENSG00000039523 or ENSG00000047315 or ENSG00000058600 or ENSG00000066379 or ENSG00000068654 or ENSG00000083223 or ENSG00000090060 or ENSG00000099817 or ENSG00000099821 or ENSG00000100142 or ENSG00000102978 or ENSG00000105258 or ENSG00000107951 or ENSG00000113356 or ENSG00000115421 or ENSG00000121851 or ENSG00000125630 or ENSG00000132664 or ENSG00000134744 or ENSG00000137054 or ENSG00000144231 or ENSG00000147669 or ENSG00000148606 or ENSG00000149016 or ENSG00000161980 or ENSG00000163882 or ENSG00000164329 or ENSG00000168002 or ENSG00000168495 or ENSG00000171453 or ENSG00000172016 or ENSG00000177700 or ENSG00000181019 or ENSG00000181222 or ENSG00000186141 or ENSG00000186184 or ENSG00000206502 or ENSG00000218823 or ENSG00000224859 or ENSG00000233795 or ENSG00000235176 or ENSG00000235443 or ENSG00000236808 or ENSG00000236949 or ENSG00000284282 or ENSG00000284832	(ENSG00000068654 and ENSG00000125630 and ENSG00000137054 and ENSG00000163882 and ENSG00000177700) or (ENSG00000005075 and ENSG00000047315 and ENSG00000099817 and ENSG00000100142 and ENSG00000102978 and ENSG00000105258 and ENSG00000144231 and ENSG00000147669 and ENSG00000163882 and ENSG00000168002 and ENSG00000177700 and ENSG00000181222) or ENSG00000013503 or ENSG00000039523 or ENSG00000047315 or ENSG00000058600 or ENSG00000066379 or ENSG00000083223 or ENSG00000090060 or ENSG00000099817 or ENSG00000099821 or ENSG00000107951 or ENSG00000113356 or ENSG00000115421 or ENSG00000121851 or ENSG00000132664 or ENSG00000134744 or ENSG00000148606 or ENSG00000149016 or ENSG00000161980 or ENSG00000164329 or ENSG00000168495 or ENSG00000171453 or ENSG00000172016 or ENSG00000181019 or ENSG00000181222 or ENSG00000186141 or ENSG00000186184 or ENSG00000206502 or ENSG00000218823 or ENSG00000224859 or ENSG00000233795 or ENSG00000235176 or ENSG00000235443 or ENSG00000236808 or ENSG00000236949 or ENSG00000284282 or ENSG00000284832
HMR_7163	ENSG00000113456 or ENSG00000164053 or ENSG00000172613 or ENSG00000183479 or ENSG00000213689	(ENSG00000113456 and ENSG00000172613) or ENSG00000113456 or ENSG00000164053 or ENSG00000183479 or ENSG00000213689
HMR_7164	ENSG00000113456 or ENSG00000164053 or ENSG00000172613 or ENSG00000183479 or ENSG00000213689	(ENSG00000113456 and ENSG00000172613) or ENSG00000113456 or ENSG00000164053 or ENSG00000183479 or ENSG00000213689
HMR_4241	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333	(ENSG00000181090 and ENSG00000238134) or (ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000106462 or ENSG00000108799 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333
HMR_6975	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333	(ENSG00000181090 and ENSG00000238134) or (ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333
HMR_6976	ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181090 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333	(ENSG00000181090 and ENSG00000238134) or (ENSG00000055609 and ENSG00000272333) or (ENSG00000055609 and ENSG00000167548) or ENSG00000005483 or ENSG00000055609 or ENSG00000099381 or ENSG00000101945 or ENSG00000104885 or ENSG00000109685 or ENSG00000110066 or ENSG00000116539 or ENSG00000118058 or ENSG00000133247 or ENSG00000136169 or ENSG00000139718 or ENSG00000143379 or ENSG00000145391 or ENSG00000147548 or ENSG00000152455 or ENSG00000165671 or ENSG00000167548 or ENSG00000170364 or ENSG00000181555 or ENSG00000183955 or ENSG00000185420 or ENSG00000204371 or ENSG00000206376 or ENSG00000224143 or ENSG00000227333 or ENSG00000232045 or ENSG00000236759 or ENSG00000238134 or ENSG00000272333
