rxns	newEqn
HMR_7254	16 isopentenyl-pPP[c] + trans,trans,cis-geranyl-geranyl-pp[c] => dehydrodolichol-diphosphate[c] + 16 PPi[c]
HMR_7256	dolichyl-diphosphate[c] + H2O[c] => dolichyl-phosphate[c] + Pi[c] + H+[c]
HMR_7258	dehydrodolichol-diphosphate[c] + H2O[c] => dehydrodolichol-phosphate[c] + Pi[c] + H+[c]
HMR_7263	CTP[c] + dolichol[c] => CDP[c] + dolichyl-phosphate[c] + H+[c]
HMR_7265	N-acetyl-D-glucosaminyldiphosphodolichol[c] + UDP-N-acetylglucosamine[c] => N,N-chitobiosyldiphosphodolichol[c] + UDP[c] + H+[c]
HMR_7266	GDP-mannose[c] + N,N-chitobiosyldiphosphodolichol[c] => beta-D-mannosyldiacetylchitobiosyldiphosphodolichol[c] + GDP[c] + H+[c]
HMR_7267	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol[c] + GDP-mannose[c] => alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol[c] + GDP[c] + H+[c]
HMR_7268	alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol[c] + GDP-mannose[c] => G00005[c] + GDP[c] + H+[c]
HMR_7269	G00005[c] + GDP-mannose[c] => G10526[c] + GDP[c] + H+[c]
HMR_7270	G10526[c] + GDP-mannose[c] => G00006[c] + GDP[c] + H+[c]
HMR_7274	dolichyl-phosphate-D-mannose[r] + G00006[r] => dolichyl-phosphate[r] + G10595[r] + H+[r]
HMR_7275	dolichyl-phosphate-D-mannose[r] + G10595[r] => dolichyl-phosphate[r] + G10596[r] + H+[r]
HMR_7276	dolichyl-phosphate-D-mannose[r] + G10596[r] => dolichyl-phosphate[r] + G10597[r] + H+[r]
HMR_7277	dolichyl-phosphate-D-mannose[r] + G10597[r] => dolichyl-phosphate[r] + G00007[r] + H+[r]
HMR_7279	dolichyl-D-glucosyl-phosphate[r] + G00007[r] => dolichyl-phosphate[r] + G10598[r] + H+[r]
HMR_7280	dolichyl-D-glucosyl-phosphate[r] + G10598[r] => dolichyl-phosphate[r] + G10599[r] + H+[r]
HMR_7281	dolichyl-D-glucosyl-phosphate[r] + G10599[r] => (Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1[r] + dolichyl-phosphate[r] + H+[r]
HMR_7285	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1[r] + [protein]-L-asparagine[r] => (alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r] + dolichyl-diphosphate[r] + H+[r]
HMR_8692	dolichyl-D-glucosyl-phosphate[r] + H2O[r] => dolichyl-phosphate[r] + glucose[r] + H+[r]
HMR_8378	dolichyl-phosphate[c] + O-D-mannosylprotein[c] + H+[c] <=> [protein]-L-serine[c] + dolichyl-phosphate-D-mannose[c]
BDMT_L	GDP-mannose[c] + N,N-chitobiosyldiphosphodolichol[c] => beta-D-mannosyldiacetylchitobiosyldiphosphodolichol[c] + GDP[c] + H+[c]
BDMT_U	GDP-mannose[c] + N,N-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c] => GDP[c] + H+[c] + Beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c]
BMTer_U	memgacpail heparan sulfate[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + m2emgacpail heparan sulfate[r] + Dolichyl Phosphate[r]
DEDOLP1_L	dehydrodolichol-diphosphate[c] + H2O[c] => dehydrodolichol-phosphate[c] + H+[c] + Pi[c]
DEDOLP1_U	H2O[c] + Dehydrodolichol Diphosphate, Human Uterine Homolog[c] => H+[c] + Pi[c] + Dehydrodolichol Phosphate, Human Uterine Homolog[c]
