rxn	eqn
FALDTG1c2s	fatty acid-LD-TG1 pool[c] => fatty acid-LD-TG1 pool[s]
FALDTG2c2s	fatty acid-LD-TG2 pool[c] => fatty acid-LD-TG2 pool[s]
FALDTG3c2s	fatty acid-LD-TG3 pool[c] => fatty acid-LD-TG3 pool[s]
FALDPCc2s	fatty acid-LD-PC pool[c] => fatty acid-LD-PC pool[s]
FALDPEc2s	fatty acid-LD-PE pool[c] => fatty acid-LD-PE pool[s]
FALDPIc2s	fatty acid-LD-PI pool[c] => fatty acid-LD-PI pool[s]
FALDPSc2s	fatty acid-LD-PS pool[c] => fatty acid-LD-PS pool[s]
FALDSMc2s	fatty acid-LD-SM pool[c] => fatty acid-LD-SM pool[s]
FALDTG1s2x	fatty acid-LD-TG1 pool[s] => fatty acid-LD-TG1 pool[x]
FALDTG2s2x	fatty acid-LD-TG2 pool[s] => fatty acid-LD-TG2 pool[x]
FALDTG3s2x	fatty acid-LD-TG3 pool[s] => fatty acid-LD-TG3 pool[x]
FALDPEc2s	fatty acid-LD-PE pool[s] => fatty acid-LD-PE pool[x]
FALDPCs2x	fatty acid-LD-PC pool[s] => fatty acid-LD-PC pool[x]
FALDPIs2x	fatty acid-LD-PI pool[s] => fatty acid-LD-PI pool[x]
FALDPSc2s	fatty acid-LD-PS pool[s] => fatty acid-LD-PS pool[x]
FALDSMs2x	fatty acid-LD-SM pool[s] => fatty acid-LD-SM pool[x]
