mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID	metRetired
"MAM00003s"	"MAM00003"	""	""	""	"CHEBI:78990"	""	"LMFA01030283"	""	""	"M00003"	"MNXM150165;MNXM27815"	"m00003s"	"m00003s"
"MAM00007p"	"MAM00007"	""	""	""	""	""	"LMFA07050056"	"CE5151"	""	"CE5151"	"MNXM11852"	"m00007p"	"m00007p"
"MAM00008s"	"MAM00008"	""	"C16525"	""	""	""	"LMFA01030130"	""	""	"M00008"	"MNXM11473"	"m00008s"	"m00008s"
"MAM00010s"	"MAM00010"	""	"C16522"	""	"CHEBI:53460"	""	"LMFA01030378"	""	""	"M00010"	"MNXM8271"	"m00010s"	"m00010s"
"MAM00014p"	"MAM00014"	""	""	""	""	"53481472"	""	"CE6229"	""	"CE6229"	"MNXM150224"	"m00014p"	"m00014p"
"MAM00015p"	"MAM00015"	""	""	""	""	"53481473"	""	"CE6228"	""	"CE6228"	"MNXM33354"	"m00015p"	"m00015p"
"MAM00016p"	"MAM00016"	""	"C16531"	""	""	""	"LMFA07050057"	"CE5155"	""	"CE5155"	"MNXM11430;MNXM162947"	"m00016p"	"m00016p"
"MAM00017s"	"MAM00017"	""	""	""	""	""	"LMFA01030367"	""	""	"M00017"	"MNXM24465;MNXM27114"	"m00017s"	"m00017s"
"MAM00018p"	"MAM00018"	""	""	""	""	""	""	""	""	"M00018"	"MNXM146661"	"m00018p"	"m00018p"
"MAM00019s"	"MAM00019"	""	""	""	""	""	"LMFA01030290"	""	""	"M00019"	"MNXM29438;MNXM33770"	"m00019s"	"m00019s"
"MAM00021s"	"MAM00021"	""	"C16533"	""	""	""	"LMFA01030405"	""	""	"M00021"	"MNXM9691"	"m00021s"	"m00021s"
"MAM00025p"	"MAM00025"	"nrvnccoa"	"C16532"	""	""	"24892792"	"LMFA07050058"	"CE5159"	""	"nrvnccoa"	"MNXM13000;MNXM5851"	"m00025p"	"m00025p"
"MAM00026p"	"MAM00026"	""	""	""	""	""	""	"CE6186"	""	"CE6186"	"MNXM33779"	"m00026p"	"m00026p"
"MAM00027p"	"MAM00027"	""	""	""	""	"53481494"	""	"CE6191"	""	"CE6191"	"MNXM33780"	"m00027p"	"m00027p"
"MAM00032s"	"MAM00032"	"onpthl"	"C14786"	""	"CHEBI:33998"	"108063"	""	""	""	"onpthl"	"MNXM12425;MNXM3390"	"m00032s"	"m00032s"
"MAM00035s"	"MAM00035"	"2425dhvitd3"	"C07712"	""	"CHEBI:28818"	""	"LMST03020273"	""	""	"2425dhvitd3"	"MNXM6763"	"m00035s"	"m00035s"
"MAM00036p"	"MAM00036"	""	"C05450"	""	"CHEBI:52050"	"46224537"	""	"CE5168"	""	"HC01459"	"MNXM732;MNXM827"	"m00036p"	"m00036p"
"MAM00037p"	"MAM00037"	"thcholoylcoa"	"C05448"	""	"CHEBI:27403"	"46224536"	""	""	""	"thcholoylcoa"	"MNXM165175;MNXM3395;MNXM560"	"m00037p"	"m00037p"
"MAM00039p"	"MAM00039"	"dc2coa"	"C05275"	""	"CHEBI:10723"	"24883423"	"LMFA07050023"	""	"HC01414"	"dc2coa"	"MNXM580"	"m00039p"	"m00039p"
"MAM00040p"	"MAM00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040p"	"m00040p"
"MAM00042p"	"MAM00042"	"dd2coa"	"C03221"	""	"CHEBI:15471"	"45266564"	"LMFA07050010"	""	"HC01078"	"dd2coa"	"MNXM642"	"m00042p"	"m00042p"
"MAM00043p"	"MAM00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905;MNXM22115"	"m00043p"	"m00043p"
"MAM00049p"	"MAM00049"	""	""	""	""	""	""	""	""	"M00049"	"MNXM114303"	"m00049p"	"m00049p"
"MAM00051p"	"MAM00051"	"hdd2coa"	"C05272"	"HMDB06533"	"CHEBI:28935"	"46173176"	"LMFA07050020"	""	"HC01411"	"hdd2coa"	"MNXM581"	"m00051p"	"m00051p"
"MAM00053p"	"MAM00053"	""	"C05271"	""	"CHEBI:28706"	"5280765"	"LMFA07050019"	""	"HC01410"	"hx2coa"	"MNXM753"	"m00053p"	"m00053p"
"MAM00057p"	"MAM00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057p"	"m00057p"
"MAM00059p"	"MAM00059"	""	"C05276"	""	"CHEBI:27537"	"46173358"	"LMFA07050024"	""	"HC01415"	"HC01415"	"MNXM784"	"m00059p"	"m00059p"
"MAM00064p"	"MAM00064"	""	""	""	""	""	""	"CE2245"	""	"CE2245"	"MNXM165192;MNXM97616"	"m00064p"	"m00064p"
"MAM00066p"	"MAM00066"	""	"C05273"	""	"CHEBI:27721"	""	"LMFA07050021"	""	"HC01412"	"HC01412"	"MNXM654"	"m00066p"	"m00066p"
"MAM00072p"	"MAM00072"	""	""	""	""	""	""	"CE2441"	""	"CE2441"	""	"m00072p"	"m00072p"
"MAM00073p"	"MAM00073"	""	""	""	""	""	""	"CE2437"	""	"CE2437"	""	"m00073p"	"m00073p"
"MAM00075p"	"MAM00075"	""	""	""	"CHEBI:20067"	""	"LMFA07050065"	"CE5126"	""	"CE5126"	"MNXM108213;MNXM35866"	"m00075p"	"m00075p"
"MAM00076p"	"MAM00076"	""	""	""	""	""	""	"CE5936"	""	"CE5936"	""	"m00076p"	"m00076p"
"MAM00077p"	"MAM00077"	"CE2416"	""	""	""	""	""	"CE2416"	""	""	"MNXM165274"	"m00077p"	"m00077p"
"MAM00078p"	"MAM00078"	"pristcoa"	""	""	"CHEBI:64039"	""	"LMFA07050064"	"CE5125"	""	"CE5125"	"MNXM30947"	"m00078p"	"m00078p"
"MAM00079p"	"MAM00079"	""	""	""	""	"53481417"	""	"CE5941"	""	"CE5941"	"MNXM30996"	"m00079p"	"m00079p"
"MAM00080p"	"MAM00080"	""	""	""	""	"53481419"	""	"CE5935"	""	"CE5935"	"MNXM30997"	"m00080p"	"m00080p"
"MAM00081p"	"MAM00081"	""	""	""	""	"53481423"	""	"CE2418"	""	"CE2418"	"MNXM31113"	"m00081p"	"m00081p"
"MAM00082p"	"MAM00082"	""	""	""	""	"53481428"	""	"CE2420"	""	"CE2420"	"MNXM31119"	"m00082p"	"m00082p"
"MAM00083p"	"MAM00083"	""	""	""	""	"53481430"	""	"CE2421"	""	"CE2421"	"MNXM31120"	"m00083p"	"m00083p"
"MAM00088p"	"MAM00088"	"dd3coa"	"C02944"	""	"CHEBI:27989"	"16061154"	"LMFA07050009"	""	"HC01022"	"dd3coa"	"MNXM14550"	"m00088p"	"m00088p"
"MAM00089p"	"MAM00089"	""	""	""	""	""	""	"CE2442"	""	"CE2442"	""	"m00089p"	"m00089p"
"MAM00090p"	"MAM00090"	""	""	""	""	"53481434"	""	"CE5938"	""	"CE5938"	"MNXM31216"	"m00090p"	"m00090p"
"MAM00091p"	"MAM00091"	""	""	""	""	""	""	"CE2440"	""	"CE2440"	""	"m00091p"	"m00091p"
"MAM00093p"	"MAM00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093p"	"m00093p"
"MAM00094s"	"MAM00094"	"dcsptn1"	""	"HMDB13123"	"CHEBI:65136"	"159656"	"LMFA04000064"	""	""	"dcsptn1"	"MNXM11427"	"m00094s"	"m00094s"
"MAM00095p"	"MAM00095"	"c226coa"	"C16169"	""	"CHEBI:65132"	""	"LMFA07050050"	"CE4827"	""	"CE4827;c226coa"	"MNXM3234;MNXM91778"	"m00095p"	"m00095p"
"MAM00097s"	"MAM00097"	"gluala"	"C03740"	"HMDB06248"	"CHEBI:50619"	"440103"	""	""	""	"gluala"	"MNXM59390"	"m00097s"	"m00097s"
"MAM00098p"	"MAM00098"	""	""	""	""	""	""	"CE2566"	""	"CE2566"	"MNXM162637"	"m00098p"	"m00098p"
"MAM00099p"	"MAM00099"	""	""	""	""	""	""	"CE0695"	"HC10695"	"CE0695;HC10695"	"MNXM163970"	"m00099p"	"m00099p"
"MAM00104s"	"MAM00104"	"lneldc"	""	""	""	"5282457"	"LMFA01030332"	""	""	"lneldc"	"MNXM8844"	"m00104s"	"m00104s"
"MAM00110p"	"MAM00110"	"tetpent6coa"	"C16172"	""	"CHEBI:63546"	"23724649"	"LMFA07050042"	"CE4836"	""	"tetpent6coa"	"MNXM5944"	"m00110p"	"m00110p"
"MAM00111s"	"MAM00111"	"tetpent6"	""	""	""	"14505435"	"LMFA01030820"	"CE4839"	""	"tetpent6"	"MNXM12998"	"m00111s"	"m00111s"
"MAM00113p"	"MAM00113"	"tethex3coa"	"C16168"	""	""	"53477806"	"LMFA07050051"	""	""	"tethex3coa"	"MNXM6449;MNXM846"	"m00113p"	"m00113p"
"MAM00114s"	"MAM00114"	"tethex3"	""	"HMDB13025"	""	"53481586"	"LMFA01030822"	"CE4786"	""	"tethex3"	"MNXM12996;MNXM38482;MNXM83807"	"m00114s"	"m00114s"
"MAM00115s"	"MAM00115"	""	""	""	""	""	"LMFA01030068"	""	""	"M00115"	"MNXM24151;MNXM26693"	"m00115s"	"m00115s"
"MAM00117s"	"MAM00117"	""	""	""	"CHEBI:53206"	""	"LMFA01030249"	""	""	"M00117"	"MNXM153529"	"m00117s"	"m00117s"
"MAM00118p"	"MAM00118"	""	""	""	""	""	""	"CE0784"	"HC10784"	"CE0784;HC10784"	"MNXM163972;MNXM167439"	"m00118p"	"m00118p"
"MAM00128s"	"MAM00128"	"ttdcea"	""	""	""	"68344"	"LMFA01030250"	""	""	"ttdcea"	"MNXM173931;MNXM62836;MNXM641"	"m00128s"	"m00128s"
"MAM00131p"	"MAM00131"	"tettet6coa"	"C16171"	"HMDB06516"	"CHEBI:63548"	"53477846"	"LMFA07050041"	"CE4837"	""	"tettet6coa"	"MNXM1512;MNXM5945"	"m00131p"	"m00131p"
"MAM00132s"	"MAM00132"	"tettet6"	""	""	""	"152972"	"LMFA01030819"	""	""	"tettet6"	"MNXM12999"	"m00132s"	"m00132s"
"MAM00134p"	"MAM00134"	"tetpent3coa"	"C16167"	""	"CHEBI:63543"	"23724644"	"LMFA07050049"	"CE4824"	""	"tetpent3coa"	"MNXM169215;MNXM5306"	"m00134p"	"m00134p"
"MAM00135s"	"MAM00135"	"tetpent3"	""	""	""	"52921801"	"LMFA01030821"	""	""	"tetpent3"	"MNXM12997"	"m00135s"	"m00135s"
"MAM00157s"	"MAM00157"	"bhb"	"C01089"	"HMDB00011"	"CHEBI:17066"	"92135"	"LMFA01050005"	""	"HC00661"	"bhb"	"MNXM663"	"m00157s"	"m00157s"
"MAM00167p"	"MAM00167"	"mev__R"	"C00418"	"HMDB00227"	"CHEBI:25351"	"449"	""	""	"HC00343"	"mev_R"	"MNXM333"	"m00167p"	"m00167p"
"MAM00170p"	"MAM00170"	""	""	""	""	""	""	""	""	"M00170"	"MNXM164005"	"m00170p"	"m00170p"
"MAM00172p"	"MAM00172"	""	""	""	""	""	""	""	""	"M00172"	""	"m00172p"	"m00172p"
"MAM00173p"	"MAM00173"	"3hbcoa"	"C01144"	""	"CHEBI:15453"	"9543037"	""	""	"HC00686"	"3hbcoa"	"MNXM446"	"m00173p"	"m00173p"
"MAM00174p"	"MAM00174"	""	"C05262"	""	"CHEBI:27668"	"440603"	"LMFA07050012"	""	"HC01401"	"3hddcoa"	"MNXM733"	"m00174p"	"m00174p"
"MAM00175p"	"MAM00175"	""	"C05258"	""	"CHEBI:27402"	"11966179"	"LMFA07050032"	""	"HC01397"	"HC01397"	"MNXM825"	"m00175p"	"m00175p"
"MAM00176p"	"MAM00176"	""	""	""	""	""	""	""	"HC10857"	"HC10857"	""	"m00176p"	"m00176p"
"MAM00177p"	"MAM00177"	""	""	""	""	"53481439"	""	"CE2592"	"HC12592"	"CE2592"	"MNXM31749"	"m00177p"	"m00177p"
"MAM00178p"	"MAM00178"	""	"C05260"	""	"CHEBI:27466"	"46173488"	"LMFA07050033"	""	"HC01399"	"3htdcoa"	"MNXM767"	"m00178p"	"m00178p"
"MAM00179s"	"MAM00179"	"sl__L"	"C11499"	""	"CHEBI:16712"	"443233"	""	""	""	"sl_L"	"MNXM90148"	"m00179s"	"m00179s"
"MAM00181p"	"MAM00181"	""	"C05264"	""	"CHEBI:28325"	"11966158"	"LMFA07050014"	""	"HC01403"	"3hdcoa"	"MNXM674"	"m00181p"	"m00181p"
"MAM00182p"	"MAM00182"	""	"C05268"	""	"CHEBI:28276"	"11966160"	"LMFA07050017"	""	"HC01407"	"HC01407"	"MNXM757"	"m00182p"	"m00182p"
"MAM00183p"	"MAM00183"	""	"C05266"	""	"CHEBI:28632"	"11966216"	"LMFA07050015"	""	"HC01405"	"HC01405"	"MNXM766"	"m00183p"	"m00183p"
"MAM00186s"	"MAM00186"	""	"C05780"	""	""	""	"PROTEIN"	""	"HC01944"	"HC01944"	"MNXM8317"	"m00186s"	"m00186s"
"MAM00204s"	"MAM00204"	"peplys"	"C02188"	""	""	""	""	""	"HC00904"	"peplys"	"MNXM149166"	"m00204s"	"m00204s"
"MAM00228s"	"MAM00228"	""	"C14039"	""	"CHEBI:34031"	""	""	""	""	"M00228"	"MNXM5399"	"m00228s"	"m00228s"
"MAM00234s"	"MAM00234"	""	"C00641"	""	"CHEBI:17815"	""	"LMGL02010000"	""	""	"M00234"	"MNXM59"	"m00234s"	"m00234s"
"MAM00241s"	"MAM00241"	""	"C00641"	""	"CHEBI:17815"	""	"LMGL02010000"	""	""	"M00241"	"MNXM59"	"m00241s"	"m00241s"
"MAM00242s"	"MAM00242"	""	"C11088"	""	""	""	""	""	""	"M00242"	"MNXM6026"	"m00242s"	"m00242s"
"MAM00252p"	"MAM00252"	""	""	""	""	""	""	"CE4988"	""	"CE4988"	"MNXM162617"	"m00252p"	"m00252p"
"MAM00253p"	"MAM00253"	""	""	""	""	"53481445"	""	"CE5944"	""	"CE5944"	"MNXM33026"	"m00253p"	"m00253p"
"MAM00254p"	"MAM00254"	""	""	""	""	""	""	"CE4993"	""	"CE4993"	"MNXM150154"	"m00254p"	"m00254p"
"MAM00257p"	"MAM00257"	""	""	""	""	"53481449"	""	"CE4987"	""	"CE4987"	"MNXM33031"	"m00257p"	"m00257p"
"MAM00258p"	"MAM00258"	""	""	""	""	""	""	"CE5969"	""	"CE5969"	"MNXM162793"	"m00258p"	"m00258p"
"MAM00260s"	"MAM00260"	""	""	""	""	""	""	""	""	"M00260"	""	"m00260s"	"m00260s"
"MAM00265s"	"MAM00265"	""	""	""	""	""	"LMFA01030685"	""	""	"M00265"	"MNXM23176"	"m00265s"	"m00265s"
"MAM00266s"	"MAM00266"	"10fthf"	"C00234"	""	"CHEBI:15637"	"122347"	""	""	"HC00212"	"10fthf"	"MNXM237"	"m00266s"	"m00266s"
"MAM00267s"	"MAM00267"	"10fthf5glu"	""	""	""	""	""	""	""	"10fthf5glu"	"MNXM3428"	"m00267s"	"m00267s"
"MAM00268s"	"MAM00268"	"10fthf6glu"	""	""	""	""	""	""	""	"10fthf6glu"	"MNXM3429"	"m00268s"	"m00268s"
"MAM00269s"	"MAM00269"	"10fthf7glu"	""	""	""	""	""	""	""	"10fthf7glu"	"MNXM5422"	"m00269s"	"m00269s"
"MAM00309p"	"MAM00309"	"12HPET"	"C05965"	"HMDB04243"	"CHEBI:15626"	"5280892"	"LMFA03060013"	""	""	"12HPET"	"MNXM13989;MNXM2765"	"m00309p"	"m00309p"
"MAM00309s"	"MAM00309"	"12HPET"	"C05965"	"HMDB04243"	"CHEBI:15626"	"5280892"	"LMFA03060013"	""	""	"12HPET"	"MNXM13989;MNXM2765"	"m00309s"	"m00309s"
"MAM00315s"	"MAM00315"	""	""	""	""	""	""	""	""	"M00315"	""	"m00315s"	"m00315s"
"MAM00317p"	"MAM00317"	""	""	""	""	""	""	"CE4855"	""	"CE4855"	"MNXM149272;MNXM151927"	"m00317p"	"m00317p"
"MAM00325s"	"MAM00325"	"whddca"	"C08317"	"HMDB02059"	"CHEBI:39567"	"79034"	""	""	""	"whddca"	"MNXM12526;MNXM2457"	"m00325s"	"m00325s"
"MAM00326p"	"MAM00326"	""	""	""	""	"5280876"	"LMFA03020024"	"CE4990"	""	"CE4990"	"MNXM6635"	"m00326p"	"m00326p"
"MAM00333p"	"MAM00333"	""	""	""	""	""	""	"CE5531"	""	"CE5531"	"MNXM150197"	"m00333p"	"m00333p"
"MAM00341s"	"MAM00341"	""	"C16534"	"HMDB02823"	"CHEBI:1038735"	"5312557"	"LMFA01030407"	""	""	"M00341"	"MNXM150199;MNXM155531;MNXM33338"	"m00341s"	"m00341s"
"MAM00353s"	"MAM00353"	"13_cis_retnglc"	""	"HMDB03141"	""	"5281877"	""	""	""	"13_cis_retnglc"	"MNXM146867"	"m00353s"	"m00353s"
"MAM00371s"	"MAM00371"	"whttdca"	""	""	""	""	""	""	""	"whttdca"	"MNXM12527;MNXM65545"	"m00371s"	"m00371s"
"MAM00373p"	"MAM00373"	""	""	""	""	"53480357"	"LMFA03070037"	"CE7081"	""	"CE7081"	"MNXM33481"	"m00373p"	"m00373p"
"MAM00374p"	"MAM00374"	""	""	""	""	"3246888"	"LMFA03060030"	"CE2565"	""	"CE2565"	"MNXM33399"	"m00374p"	"m00374p"
"MAM00375p"	"MAM00375"	""	""	""	""	""	""	"CE7091"	""	"CE7091"	"MNXM34762"	"m00375p"	"m00375p"
"MAM00380p"	"MAM00380"	"15HPET"	"C05966"	"HMDB04244"	"CHEBI:15628"	"5280893"	"LMFA03060014"	""	""	"15HPET"	"MNXM162620;MNXM2314"	"m00380p"	"m00380p"
"MAM00386p"	"MAM00386"	""	""	""	""	"3934"	""	"CE2568"	""	"CE2568"	"MNXM38672"	"m00386p"	"m00386p"
"MAM00387p"	"MAM00387"	""	""	""	""	""	""	"CE7112"	""	"CE7112"	"MNXM163647"	"m00387p"	"m00387p"
"MAM00388p"	"MAM00388"	""	""	""	""	""	""	"CE2569"	""	"CE2569"	"MNXM33428"	"m00388p"	"m00388p"
"MAM00389p"	"MAM00389"	""	""	""	""	"53481476"	""	"CE7113"	""	"CE7113"	"MNXM33429"	"m00389p"	"m00389p"
"MAM00397p"	"MAM00397"	""	""	""	""	"53481478"	""	"CE6226"	""	"CE6226"	"MNXM33496"	"m00397p"	"m00397p"
"MAM00398p"	"MAM00398"	""	""	""	""	"53481480"	""	"CE6198"	""	"CE6198"	"MNXM33508"	"m00398p"	"m00398p"
"MAM00401p"	"MAM00401"	""	""	""	""	"53481482"	""	"CE6225"	""	"CE6225"	"MNXM33579"	"m00401p"	"m00401p"
"MAM00402s"	"MAM00402"	"estriolglc"	"C05504"	"HMDB06766"	""	"122281"	""	""	""	"estriolglc"	"MNXM6054"	"m00402s"	"m00402s"
"MAM00403s"	"MAM00403"	"whhdca"	""	"HMDB06294"	"CHEBI:55329"	"7058075"	""	""	""	"whhdca"	"MNXM163605;MNXM2459"	"m00403s"	"m00403s"
"MAM00410p"	"MAM00410"	""	""	""	""	""	""	"CE5250"	""	"CE5250"	"MNXM150261"	"m00410p"	"m00410p"
"MAM00412p"	"MAM00412"	""	""	""	""	""	""	"CE5249"	""	"CE5249"	"MNXM150262"	"m00412p"	"m00412p"
"MAM00419p"	"MAM00419"	""	""	""	""	""	""	"CE6192"	""	"CE6192"	"MNXM33739"	"m00419p"	"m00419p"
"MAM00420p"	"MAM00420"	""	""	""	""	"53481487"	""	"CE6183"	""	"CE6183"	"MNXM33740"	"m00420p"	"m00420p"
"MAM00421p"	"MAM00421"	""	""	""	""	"53481490"	""	"CE6184"	""	"CE6184"	"MNXM33750"	"m00421p"	"m00421p"
"MAM00422p"	"MAM00422"	""	""	""	""	""	""	"CE6227"	""	"CE6227"	"MNXM47393"	"m00422p"	"m00422p"
"MAM00423p"	"MAM00423"	""	""	""	""	""	""	"CE6204"	""	"CE6204"	"MNXM164681"	"m00423p"	"m00423p"
"MAM00425p"	"MAM00425"	""	""	""	""	"53481489"	""	"CE6193"	""	"CE6193"	"MNXM33749"	"m00425p"	"m00425p"
"MAM00432s"	"MAM00432"	"whtststerone"	""	""	""	"16395893"	""	""	""	"whtststerone"	"MNXM92715"	"m00432s"	"m00432s"
"MAM00503s"	"MAM00503"	""	"C01885"	""	"CHEBI:17408"	""	"LMGL01010000"	""	""	"M00503"	"MNXM2963"	"m00503s"	"m00503s"
"MAM00510s"	"MAM00510"	""	"C01885"	""	"CHEBI:17408"	""	"LMGL01010000"	""	""	"M00510"	"MNXM2963"	"m00510s"	"m00510s"
"MAM00516s"	"MAM00516"	"ak2lgchol_hs"	"C04317"	""	""	""	"LMGP01060014"	""	""	"ak2lgchol_hs"	"MNXM1256"	"m00516s"	"m00516s"
"MAM00536s"	"MAM00536"	"1mncam"	"C02918"	"HMDB00699"	"CHEBI:16797"	"457"	""	""	""	"1mncam"	"MNXM2172"	"m00536s"	"m00536s"
"MAM00545s"	"MAM00545"	""	"C14040"	""	"CHEBI:34104"	""	""	""	""	"M00545"	"MNXM5417"	"m00545s"	"m00545s"
"MAM00549s"	"MAM00549"	""	"C04317"	""	""	""	""	""	""	"ak2lgchol_hs"	"MNXM1256"	"m00549s"	"m00549s"
"MAM00550p"	"MAM00550"	""	"C01192"	""	"CHEBI:17868"	""	""	""	""	"M00550"	"MNXM1061"	"m00550p"	"m00550p"
"MAM00556p"	"MAM00556"	"thp2c"	"C00450"	"HMDB12130"	"CHEBI:49015"	"165067"	""	""	""	"thp2c"	"MNXM162886;MNXM748"	"m00556p"	"m00556p"
"MAM00564p"	"MAM00564"	""	""	"HMDB01958"	""	"14671060"	""	"CE5124"	""	"pristanal"	"MNXM1947"	"m00564p"	"m00564p"
"MAM00577s"	"MAM00577"	"dmhptcrn"	""	"HMDB06320"	""	"53477823"	""	""	""	"dmhptcrn"	"MNXM6683"	"m00577s"	"m00577s"
"MAM00580s"	"MAM00580"	"aprgstrn"	"C04042"	"HMDB03069"	"CHEBI:36729"	"92747"	""	""	""	"aprgstrn"	"MNXM163756"	"m00580s"	"m00580s"
"MAM00581p"	"MAM00581"	""	""	""	""	""	""	"CE6187"	""	"CE6187"	"MNXM35480"	"m00581p"	"m00581p"
"MAM00582p"	"MAM00582"	""	""	""	""	"53481505"	""	"CE6182"	""	"CE6182"	"MNXM35481"	"m00582p"	"m00582p"
"MAM00583p"	"MAM00583"	""	""	""	""	"53481507"	""	"CE5947"	""	"CE5947"	"MNXM35482"	"m00583p"	"m00583p"
"MAM00584p"	"MAM00584"	""	""	""	""	"53481542"	""	"CE6189"	""	"CE6189"	"MNXM47394"	"m00584p"	"m00584p"
"MAM00585p"	"MAM00585"	"leuktrB4wcooh"	"C05950"	"HMDB06059"	"CHEBI:27562"	"5280877"	"LMFA03020016"	"CE2054"	""	"leuktrB4wcooh"	"MNXM22450"	"m00585p"	"m00585p"
"MAM00586p"	"MAM00586"	""	""	""	""	"53481508"	""	"CE5995"	""	"CE5995"	"MNXM35483"	"m00586p"	"m00586p"
"MAM00587p"	"MAM00587"	""	""	""	""	""	""	"CE6190"	""	"CE6190"	"MNXM47395"	"m00587p"	"m00587p"
"MAM00591s"	"MAM00591"	""	"C14748"	""	"CHEBI:34306"	""	""	""	"HC02179"	""	"MNXM6760"	"m00591s"	"m00591s"
"MAM00596p"	"MAM00596"	""	"C03577"	""	"CHEBI:28700"	""	"LMFA03020025"	""	""	"C03577"	"MNXM3823"	"m00596p"	"m00596p"
"MAM00601p"	"MAM00601"	""	""	""	""	"53481512"	""	"CE5994"	""	"CE5994"	"MNXM35502"	"m00601p"	"m00601p"
"MAM00613s"	"MAM00613"	"2425dhvitd2"	""	""	""	""	""	""	""	"2425dhvitd2"	"MNXM6764"	"m00613s"	"m00613s"
"MAM00614p"	"MAM00614"	"dhcholestancoa"	"C04644"	"HMDB02159"	"CHEBI:15494"	"440420"	"LMST01010221"	""	"HC01332"	"dhcholestancoa"	"MNXM162803;MNXM90923"	"m00614p"	"m00614p"
"MAM00615p"	"MAM00615"	""	""	""	""	""	""	""	""	"M00615"	"MNXM827"	"m00615p"	"m00615p"
"MAM00616p"	"MAM00616"	"cholcoar"	"C15613"	""	"CHEBI:37642"	"15942889"	"LMST01010218"	"CE5165"	"HC01348"	"cholcoar"	"MNXM549;MNXM90922;MNXM91096"	"m00616p"	"m00616p"
"MAM00617p"	"MAM00617"	""	"C17346"	""	""	""	""	""	""	"M00617"	"MNXM5367"	"m00617p"	"m00617p"
"MAM00618p"	"MAM00618"	"cholcoas"	"C17343"	""	"CHEBI:37643"	"15942888"	""	"CE5166"	""	"CE5166;cholcoas"	"MNXM1201;MNXM8131"	"m00618p"	"m00618p"
"MAM00620s"	"MAM00620"	"25hvitd2"	""	"HMDB01438"	""	"22833566"	""	""	""	"25hvitd2"	"MNXM4976"	"m00620s"	"m00620s"
"MAM00626s"	"MAM00626"	"paf_hs"	"C04598"	""	"CHEBI:36707"	""	""	""	""	"paf_hs"	"MNXM1973"	"m00626s"	"m00626s"
"MAM00641p"	"MAM00641"	""	""	""	""	""	""	"CE5241"	""	"CE5241"	"MNXM163147"	"m00641p"	"m00641p"
"MAM00642p"	"MAM00642"	""	""	""	""	""	""	"CE5239"	""	"CE5239"	"MNXM163148"	"m00642p"	"m00642p"
"MAM00648s"	"MAM00648"	"2hb"	"C05984"	"HMDB00008"	"CHEBI:1148"	"11266"	""	""	"HC01669"	"2hb"	"MNXM4968"	"m00648s"	"m00648s"
