mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID	metRetired
"MAM00218c"	"MAM00218"	""	"C01167"	""	""	""	""	""	""	"M00218"	"MNXM92621"	"m00218c"	"m00218c"
"MAM02656c"	"MAM02656"	""	"C02729"	""	""	""	""	""	""	"M02656"	"MNXM12504"	"m02656c"	"m02656c"
"MAM02742c"	"MAM02742"	""	"C00562"	""	""	""	""	""	""	"M02742"	"MNXM3278"	"m02742c"	"m02742c"
"MAM02801c"	"MAM02801"	""	"C01609"	""	""	""	""	""	""	"M02801"	"MNXM12769"	"m02801c"	"m02801c"
"MAM04060m"	"MAM04060"	"undcoa"	""	""	""	"53481608"	""	""	""	"undcoa"	""	""	"undcoa_m"
"MAM03785m"	"MAM03785"	"noncoa"	""	""	""	"439607"	""	""	""	"noncoa"	""	""	"noncoa_m"
"MAM04005m"	"MAM04005"	"tridcoa"	""	""	""	"53481606"	""	""	""	"tridcoa"	""	""	"tridcoa_m"
"MAM03973p"	"MAM03973"	"tetde5coa"	""	""	""	""	""	""	""	"tetde5coa"	""	""	"tetde5coa_p"
"MAM03651p"	"MAM03651"	"hexde7coa"	""	""	""	""	""	""	""	"hexde7coa"	""	""	"hexde7coa_p"
"MAM03858m"	"MAM03858"	"pentcoa"	""	""	""	"439337"	""	""	""	"pentcoa"	""	""	"pentcoa_m"
"MAM03648m"	"MAM03648"	"hepcoa"	""	""	""	"53481563"	""	""	""	"hepcoa"	""	""	"hepcoa_m"
"MAM01389c"	"MAM01389"	""	"C01172"	""	"CHEBI:17719"	""	""	""	""	"M01389"	"MNXM508"	"m01389c"	"m01389c"
"MAM00001s"	"MAM00001"	"carveol"	"C00964"	""	"CHEBI:15389"	""	""	""	""	"carveol"	"MNXM45735"	"m00001s"	"m00001s"
"MAM00002s"	"MAM00002"	"appnn"	"C09880"	"HMDB06525"	"CHEBI:36740"	"6654"	""	""	""	"appnn"	"MNXM163755"	"m00002s"	"m00002s"
