rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnRheaID	rxnRheaMasterID	rxnRetired
"MAR01459"	""	"HSD17B7r"	""	""	""	"HSD17B7r"	"MNXR100715"	""	""	""	0	""	""	"HSD17B7r"
"MAR04758"	"R00310"	""	"R00310C"	"r0096"	""	""	"MNXR99471"	"HMR_4758"	"RCR20530"	""	0	"RHEA:22586"	"RHEA:22584"	"HMR_4758"
"MAR07617"	"R02584"	""	""	""	""	"HMR_7617"	"MNXR107595"	"HMR_7617"	"RCR11618"	""	0	""	""	"HMR_7617"
"MAR07618"	"R02585"	""	""	""	""	"HMR_7618"	"MNXR107596"	"HMR_7618"	"RCR11619"	""	0	""	""	"HMR_7618"
"MAR07746"	"R01600"	""	""	""	""	"HMR_7746"	"MNXR107081"	"HMR_7746"	"RCR10448"	""	0	""	""	"HMR_7746"
"MAR07748"	"R02739"	""	""	""	""	"HMR_7748"	"MNXR99911"	"HMR_7748"	"RCR10277"	""	0	""	""	"HMR_7748"
"MAR07749"	"R03321"	""	""	""	""	"HMR_7749"	"MNXR99910"	"HMR_7749"	"RCR14188"	""	0	""	""	"HMR_7749"
"MAR09577"	"R00162"	""	""	""	""	"HMR_9577"	"MNXR106414"	"HMR_9577"	"RCR14832"	""	0	""	""	"HMR_9577"
"MAR09578"	"R00164"	""	""	""	""	"HMR_9578"	"MNXR106415"	"HMR_9578"	"RCR14833"	""	0	""	""	"HMR_9578"
"MAR09579"	"R03632"	""	""	""	""	"HMR_9579"	"MNXR108312"	"HMR_9579"	"RCR11010"	""	0	""	""	"HMR_9579"
"MAR07262"	""	"DOLICHOL_Lter"	""	""	""	""	"MNXR97703"	"HMR_7262"	"RCR20987"	""	0	""	""	"HMR_7262"
"MAR11269"	""	""	""	""	""	"ELAIDCRNtr"	""	""	""	""	0	""	""	"ELAIDCRNtr"
"MAR11275"	""	""	""	""	""	"PCRNtr"	""	""	""	""	0	""	""	"PCRNtr"
"MAR11273"	""	""	""	""	""	"LNLCCRNtr"	""	""	""	""	0	""	""	"LNLCCRNtr"
"MAR08639"	""	""	""	""	""	"HMR_8639"	""	"HMR_8639"	"RCR21087"	""	0	""	""	"HMR_8639"
"MAR08973"	""	"GNDc"	""	""	""	"GNDc"	""	""	""	""	0	""	""	"GNDc"
"MAR04306"	"R00835"	"G6PDH2r"	""	"r0199"	""	"G6PDH2r"	"MNXR99907"	"HMR_4306"	"RCR11101"	""	0	""	""	"HMR_4306"
"MAR00607"	"R01799"	""	""	"r1238"	""	"HMR_0607"	""	"HMR_0607"	"RCR13168"	""	0	""	""	"HMR_0607"
"MAR04911"	""	"PIt8"	""	""	""	""	"MNXR102875"	"HMR_4911"	"RCR40976"	""	0	""	""	"HMR_4911"
"MAR06324"	""	"ARGtm"	""	"r2415"	""	""	"MNXR95954"	"HMR_6324"	"RCR20114"	"2.A.29.19.1"	0	""	""	"HMR_6324"
"MAR02199"	""	""	""	""	""	"r0780"	""	""	""	""	0	""	""	"r0780"
"MAR00445"	""	"EBP2r"	""	""	""	"EBP2r"	"MNXR96687"	""	""	""	0	""	""	"EBP2r"
"MAR07441"	""	""	""	""	""	"TAGHSTDe"	""	""	""	""	0	""	""	"TAGHSTDe"
"MAR07742"	""	""	""	""	""	"XOLEST2HSTDle"	""	""	""	""	0	""	""	"XOLEST2HSTDle"
"MAR04455"	""	"BCRNe"	""	""	""	"BCRNe"	"MNXR96226"	""	""	""	0	""	""	"BCRNe"
"MAR04463"	""	"C101CRNe"	""	""	""	"C101CRNe"	""	""	""	""	0	""	""	"C101CRNe"
"MAR04478"	""	"C10CRNe"	""	""	""	"C10CRNe"	""	""	""	""	0	""	""	"C10CRNe"
"MAR04502"	""	"C10DCe"	""	""	""	"C10DCe"	"MNXR96374"	""	""	""	0	""	""	"C10DCe"
"MAR04517"	""	"C12DCe"	""	""	""	"C12DCe"	""	""	""	""	0	""	""	"C12DCe"
"MAR04576"	""	"C141OHe"	""	""	""	"C141OHe"	""	""	""	""	0	""	""	"C141OHe"
"MAR04609"	""	"C142OHe"	""	""	""	"C142OHe"	""	""	""	""	0	""	""	"C142OHe"
"MAR04622"	""	"C162OHe"	""	""	""	"C162OHe"	""	""	""	""	0	""	""	"C162OHe"
"MAR04626"	""	"C16DCe"	""	""	""	"C16DCe"	""	""	""	""	0	""	""	"C16DCe"
"MAR04653"	""	"C3DCe"	""	""	""	"C3DCe"	""	""	""	""	0	""	""	"C3DCe"
"MAR04659"	""	"C4CRNe"	""	""	""	"C4CRNe"	"MNXR96415"	""	""	""	0	""	""	"C4CRNe"
"MAR04669"	""	"C4DCe"	""	""	""	"C4DCe"	"MNXR96416"	""	""	""	0	""	""	"C4DCe"
"MAR04713"	""	"C5DCe"	""	""	""	"C5DCe"	""	""	""	""	0	""	""	"C5DCe"
"MAR04724"	""	"C6CRNe"	""	""	""	"C6CRNe"	""	""	""	""	0	""	""	"C6CRNe"
"MAR04747"	""	"C6DCe"	""	""	""	"C6DCe"	"MNXR96424"	""	""	""	0	""	""	"C6DCe"
"MAR04751"	""	"C81CRNe"	""	""	""	"C81CRNe"	""	""	""	""	0	""	""	"C81CRNe"
"MAR04753"	""	"C8CRNe"	""	""	""	"C8CRNe"	"MNXR96429"	""	""	""	0	""	""	"C8CRNe"
"MAR04761"	""	"C8DCe"	""	""	""	"C8DCe"	"MNXR96431"	""	""	""	0	""	""	"C8DCe"
"MAR04794"	""	"DDCRNe"	""	""	""	"DDCRNe"	"MNXR97212"	""	""	""	0	""	""	"DDCRNe"
"MAR04795"	""	"DDECCRNe"	""	""	""	"DDECCRNe"	""	""	""	""	0	""	""	"DDECCRNe"
"MAR04798"	""	"DDECE1CRNe"	""	""	""	"DDECE1CRNe"	""	""	""	""	0	""	""	"DDECE1CRNe"
"MAR04800"	""	"DECCRNe"	""	""	""	"DECCRNe"	"MNXR97224"	""	""	""	0	""	""	"DECCRNe"
"MAR04801"	""	"DECDICRNe"	""	""	""	"DECDICRNe"	""	""	""	""	0	""	""	"DECDICRNe"
"MAR06494"	""	"HEDCECRNe"	""	""	""	"HEDCECRNe"	""	""	""	""	0	""	""	"HEDCECRNe"
"MAR06497"	""	"HEXDCRNe"	""	""	""	"HEXDCRNe"	"MNXR100618"	""	""	""	0	""	""	"HEXDCRNe"
"MAR06504"	""	"HIVCRNe"	""	""	""	"HIVCRNe"	""	""	""	""	0	""	""	"HIVCRNe"
"MAR06541"	""	"HOCTDEC2CRNe"	""	""	""	"HOCTDEC2CRNe"	""	""	""	""	0	""	""	"HOCTDEC2CRNe"
"MAR06582"	""	"HOCTDECCRNe"	""	""	""	"HOCTDECCRNe"	""	""	""	""	0	""	""	"HOCTDECCRNe"
"MAR06590"	""	"HTDCRNe"	""	""	""	"HTDCRNe"	"MNXR100744"	""	""	""	0	""	""	"HTDCRNe"
"MAR06594"	""	"IVCRNe"	""	""	""	"IVCRNe"	"MNXR100895"	""	""	""	0	""	""	"IVCRNe"
"MAR06706"	""	"OCTDECE1CRNe"	""	""	""	"OCTDECE1CRNe"	""	""	""	""	0	""	""	"OCTDECE1CRNe"
"MAR06853"	""	"TDCRNe"	""	""	""	"TDCRNe"	"MNXR104751"	""	""	""	0	""	""	"TDCRNe"
"MAR06856"	""	"TETDEC2CRNe"	""	""	""	"TETDEC2CRNe"	""	""	""	""	0	""	""	"TETDEC2CRNe"
"MAR06857"	""	"TETDECE1CRNe"	""	""	""	"TETDECE1CRNe"	""	""	""	""	0	""	""	"TETDECE1CRNe"
"MAR06858"	""	"TIGCRNe"	""	""	""	"TIGCRNe"	"MNXR104864"	""	""	""	0	""	""	"TIGCRNe"
"MAR07191"	""	"PNTOte"	""	""	""	"PNTORDe"	"MNXR103051"	""	""	""	0	""	""	"PNTORDe"
"MAR02517"	""	"RE0580L"	""	""	""	"RE0580L"	"MNXR94939"	""	""	""	0	""	""	"RE0580L"
"MAR06710"	""	""	"RE2477C"	""	""	"RE2477C"	"MNXR103685"	"HMR_6710"	"RCR11403"	""	0	""	""	"HMR_6710"
"MAR06737"	""	""	"RE2384C"	""	""	"RE2384C"	"MNXR103663"	"HMR_6737"	"RCR14365"	""	0	""	""	"HMR_6737"
"MAR04279"	"R00104"	"NADK"	"R00104C"	""	""	""	"MNXR101882"	"HMR_4279"	"RCR10008"	""	0	"RHEA:18630"	"RHEA:18629"	"HMR_4279"
"MAR04111"	"R00268"	""	"R00268C"	"r0082"	""	"r0082"	"MNXR105305"	"HMR_4111"	"RCR10601"	""	0	""	"RHEA:19381"	"HMR_4111"
"MAR04112"	"R00268"	""	"R00268C"	"r0083"	""	"r0083"	"MNXR105305"	"HMR_4112"	"RCR11659"	""	0	""	"RHEA:19381"	"HMR_4112"
"MAR04113"	"R00268"	""	"R00268C"	"r0084"	""	"r0084"	"MNXR105305"	"HMR_4113"	"RCR10602"	""	0	""	"RHEA:19381"	"HMR_4113"
"MAR04585"	"R01899"	""	"R01899C"	"r0422"	""	"r0422"	"MNXR105340"	"HMR_4585"	"RCR11667"	""	0	""	"RHEA:25588"	"HMR_4585"
"MAR04586"	"R01899"	""	"R01899C"	"r0423"	""	"r0423"	"MNXR105340"	"HMR_4586"	"RCR11668"	""	0	""	"RHEA:25588"	"HMR_4586"
"MAR04587"	"R01899"	""	"R01899C"	"r0424"	""	"r0424"	"MNXR105340"	"HMR_4587"	"RCR10604"	""	0	""	"RHEA:25588"	"HMR_4587"
"MAR04588"	""	""	""	"r0425"	""	"r0425"	"MNXR105341"	"HMR_4588"	"RCR11669"	""	0	""	""	"HMR_4588"
"MAR03488"	""	""	"RE3073X"	""	""	""	"MNXR95747"	"HMR_3488"	"RCR12589"	""	0	""	""	"HMR_3488"
"MAR03489"	""	""	"RE3079X"	""	""	""	""	"HMR_3489"	"RCR12590"	""	0	""	""	"HMR_3489"
"MAR04456"	"R01324"	"ACONTm"	"R01324C"	"r0316"	""	"ACONTm"	"MNXR95384"	"HMR_4456"	"RCR10351"	""	0	""	"RHEA:10336"	"HMR_4456"
"MAR08435"	"R03425"	"GCCcm"	""	""	""	"GCCam"	"MNXR100067;MNXR100069"	"HMR_8435"	"RCR10246"	""	0	""	"RHEA:24304"	"HMR_8435"
"MAR08436"	"R04125"	"GCHOLAt"	""	""	""	"GCCbim"	"MNXR100068;MNXR100070"	"HMR_8436"	"RCR11319"	""	0	""	"RHEA:16945"	"HMR_8436"
"MAR08437"	"R03815"	"GCHOLAt2"	""	""	""	"GCCcm"	"MNXR100069;MNXR100071"	"HMR_8437"	"RCR11320"	""	0	""	""	"HMR_8437"
"MAR03923"	"R01221"	"GLYCLm"	"R01221C"	"r0295"	""	"r0295"	"MNXR100330"	"HMR_3923"	"RCR10962"	""	0	""	"RHEA:27758"	"HMR_3923"
"MAR04137"	"R00209"	"PDHm"	"R00209C"	"r0056"	""	"PDHm"	"MNXR102425"	"HMR_4137"	"RCR10275"	""	0	"RHEA:28043"	"RHEA:28042"	"HMR_4137"
"MAR05297"	"R08549"	"AKGDm"	""	"r1114"	""	"AKGDm"	"MNXR95655"	"HMR_5297"	"RCR11671"	""	0	""	""	"HMR_5297"
"MAR06410"	"R01699"	""	"R01699M"	"r0383"	""	"r0383"	"MNXR102427;MNXR107129"	"HMR_6410"	"RCR10446"	""	0	""	"RHEA:19189"	"HMR_6410"
"MAR06411"	"R01700"	""	""	"r0384"	""	"r0384"	"MNXR107130;MNXR95657"	"HMR_6411"	"RCR10353"	""	0	""	""	"HMR_6411"
"MAR04568"	""	""	""	"r0409"	""	"r0409"	"MNXR105339"	"HMR_4568"	"RCR11109"	""	0	""	""	"HMR_4568"
