AGPAT1
AGPAT2
AGPAT3
AGPAT4
LCAT55e
LCAT17e
LCAT4e
LCAT12e
LCAT54e
LCAT16e
LCAT19e
LCAT3e
LCAT40e
LCAT41e
LCAT42e
LCAT43e
LCAT44e
LCAT45e
LCAT56e
LCAT46e
LCAT47e
LCAT48e
LCAT9e
LCAT10e
LCAT11e
LCAT13e
LCAT14e
LCAT15e
LCAT18e
LCAT20e
LCAT21e
LCAT22e
LCAT23e
LCAT25e
LCAT26e
LCAT27e
LCAT28e
LCAT29e
LCAT2e
LCAT30e
LCAT31e
LCAT32e
LCAT33e
LCAT34e
LCAT35e
LCAT36e
LCAT37e
LCAT38e
LCAT39e
LCAT49e
LCAT50e
LCAT51e
LCAT52e
LCAT53e
LCAT57e
LCAT5e
LCAT6e
LCAT7e
LCAT8e
SMS1
SMS10
SMS11
SMS12
SMS16
SMS13
SMS14
SMS15
SMS2
SMS3
SMS4
SMS5
SMS6
SMS7
SMS8
SMS9
PEOLE_HSPLA2
PEPALM_HSPLA2
PE2LINL_HSPLA2
PEAR_HSPLA2
PE203_HSPLA2
PE226_HSPLA2
PE224_HSPLA2
PEDH203_HSPLA2
PEDH12_HSPLA2
PEDH14_HSPLA2
PEDH161_HSPLA2
PEDH13_HSPLA2
PEDH15_HSPLA2
PEDH17_HSPLA2
PELINL_HSPLA2
PLA2_2
PLA2_2e
PCHOLMYR_HSPLA2
PCHOLOLE_HSPLA2
PCHOLPALME_HSPLA2
PCHOLPALM_HSPLA2
PCHOLSTE_HSPLA2
PCHOL2LINL_HSPLA2
PCHOL2OLE_HSPLA2
PCHOL2PALM_HSPLA2
PCHOL2STE_HSPLA2
PCHOLN15_HSPLA2
PCHOLAR_HSPLA2
PCHOLN183_HSPLA2
PCHOLN1836_HSPLA2
PCHOLN19_HSPLA2
PCHOLN201_HSPLA2
PCHOLN204_HSPLA2
PCHOLN205_HSPLA2
PCHOLN224_HSPLA2
PCHOLN225_HSPLA2
PCHOLN2254_HSPLA2
PCHOLN226_HSPLA2
PCHOLN203_HSPLA2
PCHOLN24_HSPLA2
PCHOLN261_HSPLA2
PCHOLN281_HSPLA2
PCHOLN28_HSPLA2
PCHOLDOC_HSPLA2
PCHOLDEIC_HSPLA2
PCHOLDET_HSPLA2
PCHOLHEP_HSPLA2
PCHOLLINL_HSPLA2
LPS2e
MAGLINL_HSe
MAGOLE_HSe
LPS5e
LPS6e
LPS7e
ARTFR13
ARTFR202
ARTFR203
ARTFR204
ARTFR205
ARTFR206
ARTFR207
ARTFR208
ARTFR209
ARTFR210
ARTFR211
ARTFR212
ARTFR213
ARTFR31
ARTFR32
ARTFR33
ARTFR34
ARTFR42
ARTFR43
ARTFR44
ARTFR45
ARTFR46
ARTFR51
ARTFR52
ARTFR53
ARTFR54
ARTFR55
ARTFR56
ARTFR57
TAG_HSad
TAG_HSad_NE
TAG_HSad_E
CHOLESTle
