rxn	rxnKEGGID
HMR_4396	R08639
HMR_1726	R08743
HMR_0156	R01176
HMR_4611	R02014
HMR_4614	R02020
HMR_4615	R02019
HMR_4619	R02024
HMR_4621	R02018
HMR_3015	R08183
HMR_8357	R00710
HMR_4617	R02022
HMR_4618	R02023
HMR_5415	R02017
HMR_5416	R02019
HMR_7628	R00690
HMR_4796	R09875
HMR_2014	R10242
HMR_2015	R10242
HMR_0804	R05961
HMR_1624	R08733
HMR_1699	R08738
HMR_1700	R08738
HMR_1727	R08743
HMR_4537	R07213
HMR_4565	R08575
HMR_3748	R01210
HMR_3767	R01651
HMR_8180	R05947
HMR_0409	R01598
HMR_0410	R08183
HMR_4490	R01326
HMR_0414	R08191
HMR_8459	R01665
HMR_0294	R08186
HMR_0320	R08187
HMR_0382	R08192
HMR_0430	R08190
HMR_0434	R08273
HMR_8729	R08615
HMR_4493	R01330
HMR_4690	R00261
HMR_3832	R00552
HMR_3956	R10092
HMR_3831	R00490
HMR_0641	R01026
HMR_3966	R00087
HMR_7876	R00158
HMR_7892	R01137
HMR_8548	R09875
HMR_8830	R03361
HMR_4672	R02325
HMR_7875	R00158
HMR_7883	R00156
HMR_8458	R00512
HMR_7696	R02328
HMR_8538	R04734
HMR_4487	R01139
HMR_3968	R02098
HMR_8550	R03059
HMR_8559	R02266
HMR_8560	R02265
HMR_7945	R03980
HMR_7973	R03327
HMR_8167	R05957
HMR_1308	R02267
HMR_1718	R03974
HMR_8819	R05795
HMR_6510	R09748
HMR_3955	R10092
HMR_8589	R00028
HMR_7890	R02326
HMR_7891	R02326
HMR_8446	R01878
HMR_8609	R01251
HMR_1322	R05056
HMR_1323	R05057
HMR_1722	R08744
HMR_0712	R00267
HMR_8764	R06114
HMR_8502	R03082
HMR_7160	R00379
HMR_7884	R00156
HMR_8477	R01666
HMR_8478	R01666
HMR_8480	R02485
HMR_3862	R00485
HMR_3819	R03314
HMR_6965	R07477
HMR_8426	R00551
HMR_8610	R10507
HMR_3847	R00371
HMR_8563	R02678
HMR_6923	R01090
HMR_4689	R02549
HMR_7991	R01914
HMR_3957	R00709
HMR_3958	R00267
HMR_0958	R01595
HMR_8149	R05962
HMR_8191	R05946
HMR_8518	R04452
HMR_8521	R03437
HMR_0919	R01500
HMR_1609	R03507
HMR_1627	R08733
HMR_8808	R09827
HMR_8809	R06875
HMR_8810	R07299
HMR_8812	R03363
HMR_8820	R03361
HMR_8829	R03362
HMR_8623	R04515
HMR_8711	R02369
HMR_8008	R03610
HMR_6535	R09564
HMR_7794	R00004
HMR_2141	R09515
HMR_4370	R01515
HMR_8587	R00028
HMR_4642	R02102
HMR_4083	R00185
HMR_7725	R01569
HMR_7886	R02093
HMR_7893	R00722
HMR_8486	R01561
HMR_6958	R03899
HMR_5381	R02021
HMR_4078	R09076
HMR_8691	R01004
HMR_8664	R02491
HMR_8666	R00237
HMR_7704	R00466
HMR_8410	R00275
HMR_8415	R00275
HMR_0668	R02687
HMR_0670	R02687
HMR_0671	R02687
HMR_0681	R01351
HMR_0682	R01351
HMR_0683	R01351
HMR_0684	R01351
HMR_7930	R02216
HMR_1982	R03327
HMR_0736	R08969
HMR_8147	R03354
HMR_8148	R05960
HMR_8192	R05952
HMR_0674	R02757
HMR_0675	R02757
HMR_0676	R02757
HMR_0677	R02757
HMR_0678	R02757
HMR_0590	R02241
HMR_0593	R02241
HMR_0598	R02239
HMR_0600	R02239
HMR_0613	R01802
HMR_0623	R07377
HMR_0645	R03416
HMR_0787	R01498
HMR_0920	R01500
HMR_0921	R01500
HMR_0924	R04016
HMR_1318	R03521
HMR_1614	R08761
HMR_1625	R08733
HMR_1632	R08734
HMR_1720	R08745
HMR_1784	R08505
HMR_1802	R04807
HMR_8275	R05971
HMR_8276	R06006
HMR_6542	R03362
HMR_6543	R03363
HMR_6550	R06875
HMR_6553	R08981
HMR_6557	R09827
HMR_7908	R01654
HMR_8133	R04242
HMR_8143	R02301
HMR_8620	R01108
HMR_8621	R04785
HMR_8622	R04784
HMR_6644	R08382
HMR_6651	R02126
HMR_3964	R00086
HMR_7674	R00503
HMR_8761	R02927
HMR_8766	R01095
HMR_8767	R00502
HMR_8768	R05692
HMR_8341	R01759
HMR_8342	R01903
HMR_8344	R01481
HMR_8352	R02640
HMR_8353	R01905
HMR_8726	R01526
HMR_6537	R01481
HMR_3857	R01736
HMR_8497	R02528
HMR_8504	R01735
HMR_8511	R01736
HMR_8512	R00704
HMR_3212	R00924
HMR_8078	R00931
HMR_3163	R01175
HMR_4476	R01737
HMR_8074	R02750
HMR_4496	R01965
HMR_5301	R00968
HMR_6609	R02425
HMR_8755	R01769
HMR_9797	R01244
HMR_3970	R00963
HMR_4182	R00517
HMR_6621	R02023
HMR_8637	R00974
HMR_6625	R02099
HMR_6626	R02102
HMR_7716	R00963
HMR_7717	R00963
HMR_7721	R00511
HMR_7728	R01227
HMR_7881	R03530
HMR_7882	R00330
HMR_7885	R00570
HMR_7887	R02093
HMR_7894	R03530
HMR_7895	R00722
HMR_8083	R01234
HMR_8085	R01234
HMR_8087	R00191
HMR_8443	R00951
HMR_8444	R02677
HMR_8445	R00513
HMR_8482	R02016
HMR_8484	R01131
HMR_8485	R00155
HMR_8488	R02720
HMR_8494	R02088
HMR_8495	R01968
HMR_3865	R02619
HMR_4693	R01648
HMR_6780	R00734
HMR_8628	R00488
HMR_6961	R09074
HMR_6962	R09074
HMR_8425	R00669
HMR_8603	R01154
HMR_8604	R04025
HMR_8605	R05050
HMR_8611	R10507
HMR_3849	R00610
HMR_3852	R02529
HMR_3860	R03758
HMR_4467	R00585
HMR_5392	R00942
HMR_5393	R04242
HMR_8440	R02565
HMR_8783	R02150
HMR_8784	R04065
HMR_8786	R04065
HMR_4740	R02317
HMR_8018	R04175
HMR_8019	R02201
HMR_8021	R02204
HMR_8027	R04867
HMR_8092	R04907
HMR_8565	R03445
HMR_7701	R07172
HMR_8537	R07212
HMR_8541	R00031
HMR_8542	R00045
HMR_3777	R01090
HMR_8787	R00923
HMR_4243	R02487
HMR_6715	R10452
HMR_6725	R00694
HMR_6855	R03734
HMR_8539	R07211
HMR_8794	R02539
HMR_8795	R02576
HMR_8066	R02433
HMR_8067	R02433
HMR_8068	R05693
HMR_8069	R05693
HMR_8684	R00895
HMR_4494	R01961
HMR_8368	R10183
HMR_8373	R01811
HMR_8375	R00022
HMR_8377	R01117
HMR_8672	R01384
HMR_8674	R06514
HMR_3861	R02619
HMR_3866	R04861
HMR_4840	R00864
HMR_8662	R02405
HMR_8663	R02404
HMR_0710	R00267
HMR_3787	R00410
HMR_7706	R00475
HMR_8743	R00408
HMR_8774	R01393
HMR_8775	R01333
HMR_8777	R01393
HMR_8778	R01333
HMR_8779	R00465
HMR_8781	R08572
HMR_8413	R00275
HMR_2996	R01598
HMR_2190	R07758
HMR_2191	R07759
HMR_2193	R07760
HMR_2194	R07761
HMR_2459	R07122
HMR_2460	R07122
HMR_2513	R07937
HMR_2411	R07953
HMR_0959	R03058
HMR_0985	R01593
HMR_0986	R01593
HMR_0987	R01593
HMR_1010	R07043
HMR_1011	R07043
HMR_1048	R07039
HMR_1080	R03057
HMR_1081	R03059
HMR_1137	R03866
HMR_1138	R03866
HMR_8545	R07038
HMR_8546	R04552
HMR_8549	R05207
HMR_8552	R05055
HMR_0223	R01274
HMR_0250	R08174
HMR_0284	R08175
HMR_0314	R08184
HMR_0338	R08188
HMR_0350	R08178
HMR_0362	R08179
HMR_0366	R08189
HMR_0378	R08180
HMR_0398	R08177
HMR_0402	R08181
HMR_0406	R08182
HMR_3475	R00227
HMR_3032	R03779
HMR_2758	R01923
HMR_0005	R01351
HMR_0449	R00848
HMR_0605	R02251
HMR_0667	R02687
HMR_0669	R02687
HMR_0672	R02687
HMR_0679	R01351
HMR_0680	R01351
HMR_3075	R07760
HMR_3095	R04746
HMR_3096	R04745
HMR_3099	R04749
HMR_3100	R04748
HMR_3101	R01177
HMR_3103	R03026
HMR_3104	R01975
HMR_3355	R04100
HMR_3484	R05722
HMR_3116	R07760
HMR_3121	R01279
HMR_3128	R03990
HMR_3135	R03857
HMR_3142	R04754
HMR_3149	R03777
HMR_3156	R04751
HMR_3205	R00927
HMR_3239	R04100
HMR_1644	R04813
HMR_1651	R04812
HMR_7942	R02836
HMR_7948	R08942
HMR_7950	R08941
HMR_7952	R03404
HMR_7959	R02502
HMR_7962	R02358
HMR_7965	R02478
HMR_7976	R02209
HMR_7980	R04352
HMR_7984	R04683
HMR_1952	R08978
HMR_1953	R08942
HMR_1967	R09957
HMR_1969	R03405
HMR_1973	R01838
HMR_1974	R01838
HMR_1976	R02497
HMR_1977	R02497
HMR_1479	R05640
HMR_1490	R07509
HMR_1535	R03689
HMR_1540	R07499
HMR_2032	R04759
HMR_2034	R02351
HMR_2036	R02353
HMR_2042	R03090
HMR_2043	R03090
HMR_2044	R04764
HMR_2045	R04764
HMR_2053	R02356
HMR_2054	R02356
HMR_2055	R02355
HMR_2056	R02355
HMR_2057	R02355
HMR_2058	R04762
HMR_2059	R04762
HMR_0715	R06526
HMR_0735	R08969
HMR_0753	R06518
HMR_0760	R01495
HMR_0762	R01498
HMR_0765	R03354
HMR_0767	R06522
HMR_0795	R02541
HMR_8165	R05938
HMR_8166	R05956
HMR_8171	R05958
HMR_8175	R05945
HMR_8176	R05954
HMR_8178	R05951
HMR_8179	R05940
HMR_8181	R05950
HMR_8182	R05943
HMR_8184	R05937
HMR_8185	R05941
HMR_8186	R05948
HMR_8187	R05953
HMR_8188	R05942
HMR_8189	R05949
HMR_8190	R05939
HMR_0786	R03355
HMR_8211	R01494
HMR_8212	R05105
HMR_8233	R06520
HMR_8235	R06521
HMR_8237	R02464
HMR_8242	R02541
HMR_8248	R01497
HMR_0463	R01315
HMR_5254	R01315
HMR_0579	R00851
HMR_0580	R02241
HMR_0589	R02241
HMR_0591	R02241
HMR_0592	R02241
HMR_0594	R02241
HMR_0597	R02239
HMR_0599	R02239
HMR_0601	R02239
HMR_0602	R02239
HMR_0607	R01799
HMR_0610	R01802
HMR_0615	R02057
HMR_0616	R02055
HMR_0629	R01310
HMR_0630	R01315
HMR_0633	R02746
HMR_0635	R01030
HMR_7591	R02756
HMR_8362	R01023
HMR_8423	R04360
HMR_8424	R06871
HMR_8523	R01310
HMR_8525	R01310
HMR_0794	R03404
HMR_0797	R02541
HMR_0808	R05963
HMR_0826	R05999
HMR_0832	R06010
HMR_0915	R03700
HMR_0925	R04016
HMR_0926	R03354
HMR_8379	R05916
HMR_8380	R05917
HMR_8381	R05918
HMR_1979	R02216
HMR_1985	R08206
HMR_1987	R08206
HMR_1996	R02836
HMR_1305	R01590
HMR_1310	R03521
HMR_1312	R02265
HMR_1313	R02268
HMR_1335	R02801
HMR_1635	R08734
HMR_1693	R08760
HMR_1697	R08738
HMR_1703	R08739
HMR_1706	R04809
HMR_1708	R04810
HMR_1710	R04811
HMR_1723	R08745
HMR_1735	R07207
HMR_1762	R01452
HMR_1765	R07372
HMR_1777	R07209
HMR_1785	R08505
HMR_1786	R08505
HMR_1797	R07372
HMR_1798	R07372
HMR_1800	R07372
HMR_1803	R03507
HMR_1806	R03507
HMR_8065	R01682
HMR_8264	R06162
HMR_8268	R06162
HMR_8274	R06162
HMR_8288	R06197
HMR_8291	R06035
HMR_8305	R05974
HMR_8306	R06097
HMR_8316	R06189
HMR_8326	R06075
HMR_8327	R06032
HMR_8332	R06038
HMR_8334	R06230
HMR_8337	R06037
HMR_4253	R03347
