rxn	rxnKEGGID
HMR_4270	R00118
HMR_4276	R03005
HMR_8792	R10748
HMR_8800	R03478
HMR_8802	R03330
HMR_8803	R05801
HMR_3972	R09093
HMR_7909	R01654
HMR_8758	R00519
HMR_4165	R08208
HMR_4543	R04734
HMR_8346	R02933
HMR_4757	R03222
HMR_8634	R02393
HMR_6657	R08390
HMR_6658	R08390
HMR_6700	R08392
HMR_6701	R08392
HMR_8697	R00032
HMR_8700	R08392
HMR_8709	R08380
HMR_8713	R02902
HMR_8744	R00615
HMR_8748	R02135
HMR_8613	R00097
HMR_8724	R02494
HMR_8725	R01911
HMR_2117	R03611
HMR_2118	R03610
HMR_8038	R09451
HMR_4202	R00605
HMR_8617	R00138
HMR_8751	R00132
HMR_9470	R07145
HMR_9564	R06366
HMR_9566	R06412
HMR_9806	R02824
HMR_0010	R01351
HMR_5395	R03681
HMR_4131	R00955
HMR_4319	R00760
HMR_8516	R01016
HMR_8653	R10520
HMR_4486	R00725
HMR_4488	R00876
HMR_4489	R01140
HMR_4492	R01327
HMR_4495	R01964
HMR_4664	R02142
HMR_3969	R00970
HMR_4343	R00966
HMR_4514	R02485
HMR_6622	R02023
HMR_7161	R00444
HMR_7878	R03530
HMR_7888	R01857
HMR_7889	R02331
HMR_8483	R02100
HMR_8489	R00720
HMR_8493	R01664
HMR_8626	R00487
HMR_6955	R07408
HMR_6959	R03899
HMR_8097	R05051
HMR_8416	R00259
HMR_8608	R02894
HMR_3770	R04095
HMR_8017	R00447
HMR_6988	R02810
HMR_8529	R06154
HMR_6726	R01372
HMR_8641	R04858
HMR_8683	R02408
HMR_8640	R04939
HMR_8689	R02923
HMR_8690	R02457
HMR_8675	R02777
HMR_8773	R01785
HMR_1049	R07039
HMR_0604	R02240
HMR_0665	R02250
HMR_7588	R01013
HMR_3097	R04747
HMR_7931	R02216
HMR_7939	R03327
HMR_7943	R02834
HMR_7954	R01837
HMR_7955	R01836
HMR_7968	R02352
HMR_1968	R09957
HMR_1978	R04344
HMR_1519	R03724
HMR_0733	R01496
HMR_0758	R01496
HMR_0761	R01497
HMR_0775	R06521
HMR_8210	R03617
HMR_8217	R04019
HMR_0588	R02241
HMR_0596	R02239
HMR_0478	R00844
HMR_0614	R02057
HMR_0622	R07376
HMR_0627	R02055
HMR_0642	R02051
HMR_0643	R02053
HMR_1346	R09536
HMR_8645	R06728
HMR_8648	R06729
HMR_1584	R04263
HMR_1716	R03974
HMR_1778	R08723
HMR_7654	R05779
HMR_8804	R05800
HMR_8805	R03433
HMR_8807	R04513
HMR_8816	R04545
HMR_8817	R04404
HMR_8818	R03435
HMR_8821	R03469
HMR_8826	R05803
HMR_8827	R03362
HMR_4544	R04734
HMR_8738	R04286
HMR_8739	R08208
HMR_4546	R02911
HMR_4547	R03130
HMR_2114	R03311
HMR_2115	R03611
HMR_9555	R04998
HMR_9557	R03443
HMR_9559	R02590
HMR_9560	R04247
HMR_9562	R04027
HMR_9563	R06366
HMR_9565	R06412
HMR_9567	R06411
HMR_9568	R06411
HMR_9570	R00184
HMR_6328	R00124
HMR_4907	R00124
HMR_4906	R00124
HMR_4908	R00124
HMR_2041	R02353
HMR_8514	R00196
HMR_1085	R05055
HMR_8421	R01026
HMR_8473	R02556
HMR_8519	R04452
HMR_8788	R00119
HMR_8376	R00022
HMR_8409	R00275
HMR_1045	R07039
HMR_0002	R02250
HMR_0003	R02687
HMR_8132	R04242
HMR_0007	R02250
HMR_0008	R02687
HMR_8474	R00085
HMR_8487	R00963
HMR_0783	R06521
HMR_9561	R02368
