Rxn name	Formula	Gene-reaction association	LB	UB	Objective
MAR00001	chylomicron[e] => chylomicron remnant[e] + 77243 TAG-chylomicron pool[e] 	ENSG00000074416 or ENSG00000100997 or ENSG00000115884 or ENSG00000163686 or ENSG00000175445 or ENSG00000277494	  0.00	1000.00	  0.00
MAR00002	H2O[e] + TAG-chylomicron pool[e] => 1,2-diacylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e] 	ENSG00000175445	  0.00	1000.00	  0.00
MAR00003	1,2-diacylglycerol-chylomicron pool[e] + H2O[e] => 1-acylglycerol-chylomicron pool[e] + fatty acid-chylomicron pool[e] 	ENSG00000006757 or ENSG00000079435 or ENSG00000100344 or ENSG00000101670 or ENSG00000114771 or ENSG00000134780 or ENSG00000164535 or ENSG00000166035 or ENSG00000170835 or ENSG00000175535 or ENSG00000177666 or ENSG00000182333 or ENSG00000187021 or ENSG00000203837 or ENSG00000266200	  0.00	1000.00	  0.00
MAR00004	1-acylglycerol-chylomicron pool[e] => 1-acylglycerol-chylomicron pool[c] 		  0.00	1000.00	  0.00
MAR00005	1-acylglycerol-chylomicron pool[c] + H2O[c] => fatty acid-chylomicron pool[c] + glycerol[c] 	ENSG00000074416 or ENSG00000100997 or ENSG00000163686	  0.00	1000.00	  0.00
MAR00006	VLDL[e] => 10385 TAG-VLDL pool[e] + VLDL remnant[e] 	ENSG00000074416 or ENSG00000100997 or ENSG00000115884 or ENSG00000163686 or ENSG00000175445 or ENSG00000277494	  0.00	1000.00	  0.00
MAR00007	H2O[e] + TAG-VLDL pool[e] => 1,2-diacylglycerol-VLDL pool[e] + fatty acid-VLDL pool[e] 	ENSG00000175445	  0.00	1000.00	  0.00
MAR00008	1,2-diacylglycerol-VLDL pool[e] + H2O[e] => 1-acylglycerol-VLDL pool[e] + fatty acid-VLDL pool[e] 	ENSG00000175445	  0.00	1000.00	  0.00
MAR00009	1-acylglycerol-VLDL pool[e] => 1-acylglycerol-VLDL pool[c] 		  0.00	1000.00	  0.00
MAR00010	1-acylglycerol-VLDL pool[c] + H2O[c] => fatty acid-VLDL pool[c] + glycerol[c] 	ENSG00000074416 or ENSG00000100997 or ENSG00000163686	  0.00	1000.00	  0.00
