rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnRheaID	rxnRheaMasterID	rxnRetired
"MAR03905"	"R00754"	"ALCD2x"	"R00754C"	"r0187"	""	"ALCD2if"	"MNXR95725"	"HMR_3905"	"RCR11018"	""	0	"RHEA:25291"	"RHEA:25290"	"HMR_3905"
"MAR03907"	"R00746"	"ALCD2y"	""	""	""	"ALCD2yf"	"MNXR95726"	"HMR_3907"	"RCR11019"	""	0	""	""	"HMR_3907"
"MAR04097"	"R00235"	"ACS"	"R00235C"	"r0066"	""	"ACS"	"MNXR95413"	"HMR_4097"	"RCR10002"	""	0	"RHEA:23177"	"RHEA:23176"	"HMR_4097"
"MAR04099"	"R00235"	"ACSm"	"R00235C"	"r0067"	""	"ACSm"	"MNXR95413"	"HMR_4099"	"RCR10144"	""	0	"RHEA:23177"	"RHEA:23176"	"HMR_4099"
"MAR04108"	"R00236"	""	"R00236C"	"r0068"	""	"r0068"	"MNXR105304"	"HMR_4108"	"RCR11020"	""	0	""	""	"HMR_4108"
"MAR04133"	"R00316"	""	"R00316C"	"r0097"	""	"r0097"	"MNXR105307"	"HMR_4133"	"RCR11021"	""	0	""	""	"HMR_4133"
"MAR04137"	"R00209"	"PDHm"	"R00209C"	"r0056"	""	"PDHm"	"MNXR102425"	"HMR_4137"	"RCR10275"	""	0	"RHEA:28043"	"RHEA:28042"	"HMR_4137"
"MAR04281"	"R00703"	""	"R00703C"	"r0173"	""	"r0173"	"MNXR101040"	"HMR_4281"	"RCR10083"	""	0	""	""	"HMR_4281"
"MAR04388"	"R00703"	"LDH_L"	"R00703C"	"r0171"	""	"LDH_L"	"MNXR101040"	"HMR_4388"	"RCR10441"	""	0	""	""	"HMR_4388"
"MAR04283"	"R00711"	""	"R00711C"	"r0177"	""	"ALDD2y"	"MNXR95750"	"HMR_4283"	"RCR11022"	""	0	"RHEA:25299"	"RHEA:25298"	"HMR_4283"
"MAR08357"	"R00710"	"ALDD2xm"	""	""	""	"ALDD2xm"	"MNXR106570;MNXR95749"	"HMR_8357"	"RCR11023"	""	0	"RHEA:25295"	"RHEA:25294"	"HMR_8357"
"MAR04379"	"R00756"	"PFK"	""	"r0736"	""	"PFK"	"MNXR102507;MNXR106666"	"HMR_4379"	"RCR14180"	""	0	""	""	"HMR_4379"
"MAR04301"	"R00769"	""	""	"r0191"	""	"r0191"	"MNXR105312;MNXR106676"	"HMR_4301"	"RCR14181"	""	0	""	""	"HMR_4301"
"MAR04355"	"R01829"	""	"R01829C"	"r0407"	""	"r0407"	"MNXR105337;MNXR99461"	"HMR_4355"	"RCR14182"	""	0	""	""	"HMR_4355"
"MAR04358"	"R00200"	"PYK"	"R00200C"	"r0054"	""	"PYK"	"MNXR103371"	"HMR_4358"	"RCR10276"	""	0	"RHEA:18159"	"RHEA:18157"	"HMR_4358"
"MAR04360"	"R00205"	""	""	"r0055"	""	"r0055"	"MNXR95787"	"HMR_4360"	"RCR11024"	""	0	""	""	"HMR_4360"
"MAR04363"	"R00658"	"ENO"	"R00658C"	"r0164"	""	"ENO"	"MNXR97932"	"HMR_4363"	"RCR10443"	""	0	""	""	"HMR_4363"
"MAR04365"	"R01518"	"PGM"	"R01518C"	"r0341"	""	"PGM"	"MNXR102547"	"HMR_4365"	"RCR10444"	""	0	""	""	"HMR_4365"
"MAR04368"	"R01512"	"PGK"	"R01512C"	"r0337"	""	"PGK"	"MNXR102538"	"HMR_4368"	"RCR10230"	""	0	""	""	"HMR_4368"
"MAR04370"	"R01515"	"ACYP"	""	""	""	"ACYP"	"MNXR95410"	"HMR_4370"	"RCR10445"	""	0	""	""	"HMR_4370"
"MAR04371"	"R01662"	""	""	""	""	"DPGM"	"MNXR107112"	"HMR_4371"	"RCR11025"	""	0	""	""	"HMR_4371"
